county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,Associate Justice - Supreme Court 4,,NP,Michelle MacDonald,3383,45.26
01,Aitkin,Associate Justice - Supreme Court 4,,NP,Paul Thissen,4078,54.56
01,Aitkin,Associate Justice - Supreme Court 4,,WI,WRITE-IN,14,0.19
01,Aitkin,County Commissioner District 2,2,NP,Gene Miller,766,34.04
01,Aitkin,County Commissioner District 2,2,NP,Laurie Westerlund,1484,65.96
01,Aitkin,County Commissioner District 2,2,WI,WRITE-IN,0,0.00
01,Aitkin,County Commissioner District 4,4,NP,Bill Pratt,713,39.37
01,Aitkin,County Commissioner District 4,4,NP,Brian Napstad,724,39.98
01,Aitkin,County Commissioner District 4,4,WI,WRITE-IN,374,20.65
01,Aitkin,Judge - 9th District Court 11,9,NP,Anne M. Rasmusson,5908,99.53
01,Aitkin,Judge - 9th District Court 11,9,WI,WRITE-IN,28,0.47
01,Aitkin,Judge - 9th District Court 12,9,NP,Sarah L. McBroom,5941,99.41
01,Aitkin,Judge - 9th District Court 12,9,WI,WRITE-IN,35,0.59
01,Aitkin,Judge - 9th District Court 14,9,NP,Robert D. Tiffany,5926,99.56
01,Aitkin,Judge - 9th District Court 14,9,WI,WRITE-IN,26,0.44
01,Aitkin,Judge - 9th District Court 15,9,NP,Tamara L. Yon,5897,99.51
01,Aitkin,Judge - 9th District Court 15,9,WI,WRITE-IN,29,0.49
01,Aitkin,Judge - 9th District Court 18,9,NP,Jeffrey S. Remick,5914,99.63
01,Aitkin,Judge - 9th District Court 18,9,WI,WRITE-IN,22,0.37
01,Aitkin,Judge - 9th District Court 19,9,NP,James Hughes,2913,41.07
01,Aitkin,Judge - 9th District Court 19,9,NP,Jana M Austad,4171,58.81
01,Aitkin,Judge - 9th District Court 19,9,WI,WRITE-IN,8,0.11
01,Aitkin,Judge - 9th District Court 2,9,NP,Matthew Mallie,5918,99.41
01,Aitkin,Judge - 9th District Court 2,9,WI,WRITE-IN,35,0.59
01,Aitkin,Judge - 9th District Court 21,9,NP,Patricia Aanes,5935,99.45
01,Aitkin,Judge - 9th District Court 21,9,WI,WRITE-IN,33,0.55
01,Aitkin,Judge - 9th District Court 22,9,NP,Darlene Rivera Spalla,5912,99.38
01,Aitkin,Judge - 9th District Court 22,9,WI,WRITE-IN,37,0.62
01,Aitkin,Judge - 9th District Court 4,9,NP,Benjamin T. Lindstrom,3114,42.85
01,Aitkin,Judge - 9th District Court 4,9,NP,Charles D Halverson,4145,57.04
01,Aitkin,Judge - 9th District Court 4,9,WI,WRITE-IN,8,0.11
01,Aitkin,Judge - 9th District Court 5,9,NP,D. Korey Wahwassuck,5898,99.44
01,Aitkin,Judge - 9th District Court 5,9,WI,WRITE-IN,33,0.56
01,Aitkin,Judge - Court of Appeals 13,,NP,Jeanne Cochran,5971,99.43
01,Aitkin,Judge - Court of Appeals 13,,WI,WRITE-IN,34,0.57
01,Aitkin,Judge - Court of Appeals 15,,NP,Kevin G. Ross,5953,99.57
01,Aitkin,Judge - Court of Appeals 15,,WI,WRITE-IN,26,0.43
01,Aitkin,Judge - Court of Appeals 3,,NP,Carol Hooten,6029,99.34
01,Aitkin,Judge - Court of Appeals 3,,WI,WRITE-IN,40,0.66
01,Aitkin,Judge - Court of Appeals 9,,NP,Randall J Slieter,5970,99.35
01,Aitkin,Judge - Court of Appeals 9,,WI,WRITE-IN,39,0.65
01,Aitkin,President,,DFL,Joseph R. Biden and Kamala Harris,3607,35.98
01,Aitkin,President,,GP,Howie Hawkins and Angela Walker,24,0.24
01,Aitkin,President,,IA,"Roque ""Rocky"" De La Fuente and Darcy Richardson",15,0.15
01,Aitkin,President,,IND,Brock Pierce and Karla Ballard,24,0.24
01,Aitkin,President,,IND,Kanye West and Michelle Tidball,22,0.22
01,Aitkin,President,,LIB,"Jo Jorgensen and Jeremy ""Spike"" Cohen",55,0.55
01,Aitkin,President,,R,Donald J. Trump and Michael R. Pence,6258,62.42
01,Aitkin,President,,SLP,Gloria La Riva and Leonard Peltier,2,0.02
01,Aitkin,President,,SWP,Alyson Kennedy and Malcolm Jarrett,3,0.03
01,Aitkin,President,,WI,WRITE-IN,15,0.15
01,Aitkin,Soil and Water Supervisor District 3,3001,NP,Franklin Turnock,7216,99.20
01,Aitkin,Soil and Water Supervisor District 3,3001,WI,WRITE-IN,58,0.80
01,Aitkin,Soil and Water Supervisor District 4,3001,NP,Bob Janzen,7307,99.24
01,Aitkin,Soil and Water Supervisor District 4,3001,WI,WRITE-IN,56,0.76
01,Aitkin,Soil and Water Supervisor District 5,3001,NP,Robert Roseberg,7045,99.42
01,Aitkin,Soil and Water Supervisor District 5,3001,WI,WRITE-IN,41,0.58
01,Aitkin,State House,10B,DFL,Gaylene Spolarich,3225,33.10
01,Aitkin,State House,10B,R,Dale K. Lueck,6516,66.87
01,Aitkin,State House,10B,WI,WRITE-IN,3,0.03
01,Aitkin,State Senate,10,DFL,Steve Samuelson,3299,33.95
01,Aitkin,State Senate,10,R,Carrie Ruud,6410,65.97
01,Aitkin,State Senate,10,WI,WRITE-IN,7,0.07
01,Aitkin,U.S. House,8,DFL,Quinn Nystrom,3227,33.10
01,Aitkin,U.S. House,8,GLC,Judith Schwartzbacker,457,4.69
01,Aitkin,U.S. House,8,R,Pete Stauber,6063,62.18
01,Aitkin,U.S. House,8,WI,WRITE-IN,3,0.03
01,Aitkin,U.S. Senate,,DFL,Tina Smith,3474,35.29
01,Aitkin,U.S. Senate,,GLC,Oliver Steinberg,143,1.45
01,Aitkin,U.S. Senate,,LMN,Kevin O'Connor,462,4.69
01,Aitkin,U.S. Senate,,R,Jason Lewis,5761,58.52
01,Aitkin,U.S. Senate,,WI,WRITE-IN,5,0.05
02,Anoka,Associate Justice - Supreme Court 4,,NP,Michelle MacDonald,74070,46.42
02,Anoka,Associate Justice - Supreme Court 4,,NP,Paul Thissen,84794,53.14
02,Anoka,Associate Justice - Supreme Court 4,,WI,WRITE-IN,704,0.44
02,Anoka,County Commissioner District 1,1,NP,John LeTourneau,10347,36.09
02,Anoka,County Commissioner District 1,1,NP,Matt Look,18236,63.61
02,Anoka,County Commissioner District 1,1,WI,WRITE-IN,86,0.30
02,Anoka,County Commissioner District 2,2,NP,Julie Braastad,20153,71.49
02,Anoka,County Commissioner District 2,2,NP,Noel Lutsey,7922,28.10
02,Anoka,County Commissioner District 2,2,WI,WRITE-IN,114,0.40
02,Anoka,County Commissioner District 3,3,NP,Nyle Zikmund,10578,39.03
02,Anoka,County Commissioner District 3,3,NP,Robyn West,16383,60.44
02,Anoka,County Commissioner District 3,3,WI,WRITE-IN,143,0.53
02,Anoka,County Commissioner District 6,6,NP,Cindy Hansen,11944,47.21
02,Anoka,County Commissioner District 6,6,NP,Jeff Reinert,13271,52.45
02,Anoka,County Commissioner District 6,6,WI,WRITE-IN,85,0.34
02,Anoka,Judge - 10th District Court 1,10,NP,Juanita C. Freeman,115349,98.87
