county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,Attorney General,,DFL,Mike Hatch,4110,52.80
01,Aitkin,Attorney General,,Other,,433,5.56
01,Aitkin,Attorney General,,R,Charlie Weaver,2785,35.78
01,Aitkin,Attorney General,,RP,,456,5.86
01,Aitkin,Governor,,DFL,Hubert H. Humphrey III,2347,30.15
01,Aitkin,Governor,,Other,,93,1.19
01,Aitkin,Governor,,R,Norm Coleman,2447,31.44
01,Aitkin,Governor,,RP,Jesse Ventura,2897,37.22
01,Aitkin,Secretary of State,,DFL,Mark Ritchie,3532,45.38
01,Aitkin,Secretary of State,,Other,,523,6.72
01,Aitkin,Secretary of State,,R,Mary Kiffmeyer,3015,38.73
01,Aitkin,Secretary of State,,RP,,714,9.17
01,Aitkin,State Auditor,,DFL,Judi Dutcher,3680,47.28
01,Aitkin,State Auditor,,MTP,,441,5.67
01,Aitkin,State Auditor,,Other,,632,8.12
01,Aitkin,State Auditor,,R,Mark Ourada,3031,38.94
01,Aitkin,State Treasurer,,DFL,Carol Johnson,3845,49.40
01,Aitkin,State Treasurer,,Other,,552,7.09
01,Aitkin,State Treasurer,,R,Mark Meierhenry,2652,34.07
01,Aitkin,State Treasurer,,RP,,735,9.44
02,Anoka,Attorney General,,DFL,Mike Hatch,49810,39.22
02,Anoka,Attorney General,,Other,,9216,7.26
02,Anoka,Attorney General,,R,Charlie Weaver,59096,46.53
02,Anoka,Attorney General,,RP,,8884,6.99
02,Anoka,Governor,,DFL,Hubert H. Humphrey III,24975,19.66
02,Anoka,Governor,,Other,,820,0.65
02,Anoka,Governor,,R,Norm Coleman,37111,29.22
02,Anoka,Governor,,RP,Jesse Ventura,64100,50.47
02,Anoka,Secretary of State,,DFL,Mark Ritchie,44726,35.22
02,Anoka,Secretary of State,,Other,,11744,9.25
02,Anoka,Secretary of State,,R,Mary Kiffmeyer,55382,43.61
02,Anoka,Secretary of State,,RP,,15154,11.93
02,Anoka,State Auditor,,DFL,Judi Dutcher,45149,35.55
02,Anoka,State Auditor,,MTP,,7704,6.07
02,Anoka,State Auditor,,Other,,14791,11.65
02,Anoka,State Auditor,,R,Mark Ourada,59362,46.74
02,Anoka,State Treasurer,,DFL,Carol Johnson,49577,39.04
02,Anoka,State Treasurer,,Other,,13218,10.41
02,Anoka,State Treasurer,,R,Mark Meierhenry,46050,36.26
02,Anoka,State Treasurer,,RP,,18161,14.30
03,Becker,Attorney General,,DFL,Mike Hatch,5227,41.94
03,Becker,Attorney General,,Other,,815,6.54
03,Becker,Attorney General,,R,Charlie Weaver,5984,48.01
03,Becker,Attorney General,,RP,,438,3.51
03,Becker,Governor,,DFL,Hubert H. Humphrey III,4349,34.89
03,Becker,Governor,,Other,,358,2.87
03,Becker,Governor,,R,Norm Coleman,5036,40.40
03,Becker,Governor,,RP,Jesse Ventura,2721,21.83
03,Becker,Secretary of State,,DFL,Mark Ritchie,4880,39.15
03,Becker,Secretary of State,,Other,,871,6.99
03,Becker,Secretary of State,,R,Mary Kiffmeyer,5959,47.81
03,Becker,Secretary of State,,RP,,754,6.05
03,Becker,State Auditor,,DFL,Judi Dutcher,5091,40.85
03,Becker,State Auditor,,MTP,,788,6.32
03,Becker,State Auditor,,Other,,1045,8.38
03,Becker,State Auditor,,R,Mark Ourada,5540,44.45
03,Becker,State Treasurer,,DFL,Carol Johnson,5371,43.09
03,Becker,State Treasurer,,Other,,832,6.68
03,Becker,State Treasurer,,R,Mark Meierhenry,5518,44.27
03,Becker,State Treasurer,,RP,,743,5.96
04,Beltrami,Attorney General,,DFL,Mike Hatch,7402,49.71
04,Beltrami,Attorney General,,Other,,895,6.01
04,Beltrami,Attorney General,,R,Charlie Weaver,6064,40.73
04,Beltrami,Attorney General,,RP,,529,3.55
04,Beltrami,Governor,,DFL,Hubert H. Humphrey III,5289,35.52
04,Beltrami,Governor,,Other,,342,2.30
04,Beltrami,Governor,,R,Norm Coleman,5872,39.44
04,Beltrami,Governor,,RP,Jesse Ventura,3387,22.75
04,Beltrami,Secretary of State,,DFL,Mark Ritchie,6694,44.96
04,Beltrami,Secretary of State,,Other,,926,6.22
04,Beltrami,Secretary of State,,R,Mary Kiffmeyer,6368,42.77
04,Beltrami,Secretary of State,,RP,,902,6.06
04,Beltrami,State Auditor,,DFL,Judi Dutcher,6645,44.63
04,Beltrami,State Auditor,,MTP,,654,4.39
04,Beltrami,State Auditor,,Other,,1265,8.50
04,Beltrami,State Auditor,,R,Mark Ourada,6326,42.48
04,Beltrami,State Treasurer,,DFL,Carol Johnson,7089,47.61
04,Beltrami,State Treasurer,,Other,,1076,7.23
04,Beltrami,State Treasurer,,R,Mark Meierhenry,5746,38.59
04,Beltrami,State Treasurer,,RP,,979,6.57
05,Benton,Attorney General,,DFL,Mike Hatch,6273,46.64
05,Benton,Attorney General,,Other,,1085,8.07
05,Benton,Attorney General,,R,Charlie Weaver,5216,38.78
05,Benton,Attorney General,,RP,,877,6.52
05,Benton,Governor,,DFL,Hubert H. Humphrey III,2750,20.44
