county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,President,,DFL,John Kerry,665,42.79
01,Aitkin,President,,GP,David Cobb,1,0.06
01,Aitkin,President,,IND,Ralph Nader,1,0.06
01,Aitkin,President,,LIB,Michael Badnarik,21,1.35
01,Aitkin,President,,R,George W. Bush,866,55.73
01,Aitkin,State House,,DFL,,692,45.59
01,Aitkin,State House,,IND,,1,0.07
01,Aitkin,State House,,R,,825,54.35
02,Anoka,President,,DFL,John Kerry,4322,48.43
02,Anoka,President,,GP,David Cobb,8,0.09
02,Anoka,President,,IND,Ralph Nader,10,0.11
02,Anoka,President,,LIB,Michael Badnarik,62,0.69
02,Anoka,President,,R,George W. Bush,4523,50.68
02,Anoka,State House,,DFL,,3263,38.80
02,Anoka,State House,,IND,,9,0.11
02,Anoka,State House,,R,,5138,61.09
03,Becker,President,,DFL,John Kerry,1549,34.55
03,Becker,President,,GP,David Cobb,4,0.09
03,Becker,President,,IND,Ralph Nader,7,0.16
03,Becker,President,,LIB,Michael Badnarik,31,0.69
03,Becker,President,,R,George W. Bush,2892,64.51
03,Becker,State House,,DFL,,1608,36.87
03,Becker,State House,,IND,,3,0.07
03,Becker,State House,,R,,2750,63.06
04,Beltrami,President,,DFL,John Kerry,22,45.83
04,Beltrami,President,,R,George W. Bush,26,54.17
04,Beltrami,State House,,DFL,,29,60.42
04,Beltrami,State House,,R,,19,39.58
05,Benton,President,,DFL,John Kerry,154,30.14
05,Benton,President,,GP,David Cobb,2,0.39
05,Benton,President,,R,George W. Bush,355,69.47
05,Benton,State House,,R,,316,100.00
07,Blue Earth,President,,DFL,John Kerry,819,39.72
07,Blue Earth,President,,GP,David Cobb,2,0.10
07,Blue Earth,President,,IND,Ralph Nader,1,0.05
07,Blue Earth,President,,LIB,Michael Badnarik,14,0.68
07,Blue Earth,President,,R,George W. Bush,1226,59.46
07,Blue Earth,State House,,DFL,,625,31.00
07,Blue Earth,State House,,IND,,1,0.05
07,Blue Earth,State House,,R,,1390,68.95
