VTDID,PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,WARD,HOSPDIST,PARKDIST,TABMODEL,MAILBALLOT,REG7AM,EDR,SIGNATURES,AB_MB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSLIB,USPRSWTP,USPRSG,USPRSSLP,USPRSSWP,USPRSJFA,USPRSIND,USPRSWI,USPRSTOTAL,USSENR,USSENDFL,USSENLIB,USSENIA,USSENWI,USSENTOTAL,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL,MNCA1YES,MNCA1NO,MNCA1EST,MNCA1TOTAL
270010005,Aitkin,0005,Aitkin,Aitkin,1,8,10,10A,01,09,3001,no data,no data,no data,ImageCast Evolution,NO,1331,108,671,454,0,0,1125,657,437,3,14,4,0,0,1,1,3,1120,530,510,33,25,0,1098,632,459,0,1091,0,0,0,0,615,448,2,1065,873,193,59,1125
270010010,Aitkin Twp,0010,Aitkin Twp,Aitkin,1,8,10,10A,01,09,3001,no data,no data,no data,ImageCast Central,YES,643,36,0,584,0,0,584,390,182,2,6,1,0,0,0,0,0,581,339,212,8,11,3,573,402,170,0,572,0,0,0,0,399,165,2,566,404,136,44,584
270010015,Ball Bluff Twp,0015,Ball Bluff Twp,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Central,YES,203,4,0,177,0,0,177,103,66,1,3,0,0,0,0,0,2,175,90,81,3,1,0,175,112,61,1,174,0,0,0,0,112,59,0,171,119,51,7,177
270010020,Balsam Twp,0020,Balsam Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,22,0,0,19,0,0,19,10,9,0,0,0,0,0,0,0,0,19,8,10,0,0,0,18,11,8,0,19,0,0,0,0,12,6,0,18,13,6,0,19
270010025,Beaver Twp,0025,Beaver Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,51,1,0,41,0,0,41,21,19,0,0,0,0,0,0,0,1,41,21,20,0,0,0,41,21,20,0,41,0,0,0,0,21,19,0,40,31,7,3,41
270010030,Clark Twp,0030,Clark Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Evolution,NO,99,3,73,15,0,0,88,56,32,0,0,0,0,0,0,0,0,88,50,37,0,0,0,87,57,29,0,86,0,0,0,0,54,32,0,86,45,39,4,88
270010035,Cornish Twp,0035,Cornish Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,46,0,0,43,1,0,44,24,19,0,0,0,0,0,0,0,0,43,23,20,0,1,0,44,27,17,0,44,0,0,0,0,24,18,0,42,29,11,4,44
270010038,Unorg 47-24 (Davidson Unorg),0038,Davidson Unorg,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,33,1,0,28,0,0,28,14,11,1,2,0,0,0,0,0,0,28,14,12,1,1,0,28,16,12,0,28,0,0,0,0,15,13,0,28,22,5,1,28
270010040,Farm Island Twp,0040,Farm Island Twp,Aitkin,1,8,10,10A,02,09,3001,no data,no data,no data,ImageCast Evolution,NO,955,40,539,328,0,0,867,548,306,0,2,1,0,0,0,2,2,861,470,357,7,12,2,848,555,285,1,841,0,0,0,0,526,286,1,813,623,190,54,867
270010045,Fleming Twp,0045,Fleming Twp,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Evolution,NO,269,6,161,69,0,0,230,152,71,1,0,0,0,0,0,1,2,227,126,90,4,3,0,223,150,74,0,224,0,0,0,0,148,66,0,214,164,53,13,230
270010050,Glen Twp,0050,Glen Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,375,8,0,337,0,0,337,200,130,3,2,0,0,0,0,0,1,336,174,146,3,4,2,329,214,118,0,332,0,0,0,0,206,119,2,327,231,85,21,337
270010055,Haugen Twp,0055,Haugen Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Evolution,NO,133,9,90,39,0,0,129,78,49,0,2,0,0,0,0,0,0,129,71,51,1,3,0,126,80,48,0,128,0,0,0,0,75,49,0,124,97,30,2,129
270010060,Hazelton Twp,0060,Hazelton Twp,Aitkin,1,8,10,10A,02,09,3001,no data,no data,no data,ImageCast Central,YES,685,23,0,600,1,0,601,390,196,1,3,0,0,0,0,1,5,596,355,223,11,5,0,594,390,199,0,589,0,0,0,0,383,191,0,574,416,141,44,601
270010065,Hill City,0065,Hill City,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Evolution,NO,347,60,267,54,0,0,321,212,105,2,1,1,0,0,0,0,0,321,168,136,6,4,0,314,201,112,0,313,0,0,0,0,201,108,0,309,249,53,19,321
270010070,Hill Lake Twp,0070,Hill Lake Twp,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Central,YES,306,12,0,264,0,0,264,180,83,0,1,0,0,0,0,0,0,264,162,97,3,1,0,263,185,76,0,261,0,0,0,0,183,75,0,258,162,77,25,264
270010075,Idun Twp,0075,Idun Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,164,7,0,140,0,0,140,100,35,1,4,0,0,0,0,0,0,140,94,40,0,4,0,138,101,38,0,139,0,0,0,0,99,37,0,136,101,31,8,140
270010080,Jevne Twp,0080,Jevne Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Evolution,NO,267,16,164,57,0,0,221,164,52,1,4,0,0,0,0,0,0,221,152,61,1,1,0,215,167,50,0,217,0,0,0,0,159,48,0,207,131,72,18,221
270010082,Unorg 45-24 (Jewett Unorg),0082,Jewett Unorg,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,22,0,0,18,0,0,18,13,5,0,0,0,0,0,0,0,0,18,13,5,0,0,0,18,13,5,0,18,0,0,0,0,9,5,3,17,9,9,0,18
270010085,Kimberly Twp,0085,Kimberly Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,146,1,0,130,0,0,130,87,39,0,3,0,0,0,0,1,0,130,76,45,4,0,0,125,88,35,0,123,0,0,0,0,87,34,0,121,79,38,13,130
270010090,Lakeside Twp,0090,Lakeside Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Evolution,NO,447,29,290,126,0,0,416,282,127,1,1,0,0,0,0,1,3,415,242,154,3,7,0,406,283,119,0,402,0,0,0,0,272,121,1,394,274,118,24,416
270010095,Lee Twp,0095,Lee Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Evolution,NO,34,0,26,1,0,0,27,25,2,0,0,0,0,0,0,0,0,27,24,2,0,1,0,27,25,2,0,27,0,0,0,0,25,1,0,26,16,8,3,27
270010100,Libby Twp P-East,0100,Libby Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,23,0,0,18,0,0,18,11,7,0,0,0,0,0,0,0,0,18,10,8,0,0,0,18,10,8,0,18,0,0,0,0,11,7,0,18,12,6,0,18
270010105,Libby Twp P-West,0105,Libby Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,20,0,0,16,0,0,16,8,8,0,0,0,0,0,0,0,0,16,6,9,0,0,0,15,8,7,0,15,0,0,0,0,7,7,0,14,15,0,1,16
270010110,Logan Twp,0110,Logan Twp,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Evolution,NO,146,12,95,46,0,0,141,96,44,0,0,1,0,0,0,0,0,141,78,48,6,2,0,134,88,43,0,131,0,0,0,0,90,40,0,130,96,32,13,141
270010115,McGrath,0115,McGrath,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,32,1,0,27,0,0,27,23,4,0,0,0,0,0,0,0,0,27,21,4,0,2,0,27,25,2,0,27,0,0,0,0,23,4,0,27,18,6,3,27
270010120,McGregor,0120,McGregor,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Evolution,NO,206,34,120,36,0,0,156,104,47,2,2,0,0,0,0,0,0,155,75,64,7,1,0,147,90,58,0,148,0,0,0,0,87,55,0,142,107,37,12,156
270010125,McGregor Twp,0125,McGregor Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Evolution,NO,67,3,47,10,0,0,57,41,15,0,0,0,0,0,0,0,0,56,42,15,0,0,0,57,45,12,0,57,0,0,0,0,43,14,0,57,29,22,6,57
270010130,Macville Twp,0130,Macville Twp,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Evolution,NO,114,9,78,21,0,0,99,62,33,0,2,1,0,0,0,0,0,98,59,36,0,0,2,97,63,31,2,96,0,0,0,0,62,31,2,95,76,20,3,99
270010132,Millward Twp,0132,Millward Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,39,1,0,32,0,0,32,18,14,0,0,0,0,0,0,0,0,32,18,14,0,0,0,32,19,12,0,31,0,0,0,0,19,12,0,31,20,12,0,32
270010135,Malmo Twp,0135,Malmo Twp,Aitkin,1,8,10,10A,02,09,3001,no data,no data,no data,ImageCast Evolution,NO,273,9,170,67,0,0,237,159,74,0,4,0,0,0,0,0,0,237,132,91,6,3,0,232,157,71,0,228,0,0,0,0,153,69,2,224,152,58,27,237
270010140,Morrison Twp,0140,Morrison Twp,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Central,YES,106,7,0,94,0,0,94,75,18,0,0,0,0,0,0,1,0,94,67,19,1,2,0,89,71,19,0,90,0,0,0,0,70,18,0,88,56,29,9,94
270010145,Nordland Twp,0145,Nordland Twp,Aitkin,1,8,10,10A,02,09,3001,no data,no data,no data,ImageCast Evolution,NO,827,36,511,270,0,0,781,496,272,1,2,2,0,0,0,2,2,777,436,321,11,3,0,771,506,260,1,767,0,0,0,0,494,244,6,744,553,190,38,781
270010150,Palisade,0150,Palisade,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Central,YES,101,3,0,81,0,0,81,48,32,1,0,0,0,0,0,0,0,81,39,41,1,0,0,81,51,29,0,80,0,0,0,0,49,31,0,80,67,11,3,81
270010155,Pliny Twp,0155,Pliny Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,71,0,0,65,0,0,65,51,12,0,1,1,0,0,0,0,0,65,50,14,0,0,0,64,53,11,0,64,0,0,0,0,52,11,0,63,44,15,6,65
270010160,Rice River Twp,0160,Rice River Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,92,5,0,87,0,0,87,56,29,1,1,0,0,0,0,0,0,87,45,38,2,1,1,87,54,29,1,84,0,0,0,0,54,29,1,84,55,28,4,87
270010165,Salo Twp,0165,Salo Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,50,2,0,38,0,0,38,20,18,0,0,0,0,0,0,0,0,38,19,18,0,0,0,37,19,18,0,37,0,0,0,0,18,19,0,37,29,5,4,38
270010170,Seavey Twp,0170,Seavey Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,41,3,0,40,0,0,40,36,4,0,0,0,0,0,0,0,0,40,36,4,0,0,0,40,37,3,0,40,0,0,0,0,37,3,0,40,24,12,4,40
270010175,Shamrock Twp,0175,Shamrock Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Evolution,NO,1023,54,614,302,3,0,919,561,344,3,4,3,0,0,0,1,0,916,482,410,7,9,0,908,580,322,0,902,0,0,0,0,551,319,0,870,642,217,60,919
270010180,Spalding Twp,0180,Spalding Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,136,10,0,109,0,0,109,52,56,0,0,1,0,0,0,0,0,109,45,53,4,5,0,107,53,53,0,106,0,0,0,0,52,53,0,105,73,30,6,109
270010185,Spencer Twp,0185,Spencer Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,402,14,0,368,0,0,368,247,110,0,4,4,0,0,0,0,2,367,218,135,5,2,0,360,242,117,1,360,0,0,0,0,243,113,0,356,253,90,25,368
270010190,Tamarack,0190,Tamarack,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,32,3,0,25,0,0,25,20,4,0,0,0,0,0,0,1,0,25,11,11,0,0,0,22,20,4,0,24,0,0,0,0,19,5,0,24,13,11,1,25
270010195,Turner Twp,0195,Turner Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,123,1,0,105,0,0,105,53,50,0,0,0,0,0,0,0,0,103,45,57,0,0,0,102,58,40,0,98,0,0,0,0,55,42,0,97,75,19,11,105
270010200,Verdon Twp,0200,Verdon Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,36,2,0,30,0,0,30,20,10,0,0,0,0,0,0,0,0,30,15,14,0,0,0,29,20,10,0,30,0,0,0,0,18,10,0,28,18,9,3,30
270010205,Wagner Twp,0205,Wagner Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Evolution,NO,219,13,180,28,0,0,208,139,63,1,2,1,0,0,0,1,1,208,122,77,5,0,0,204,136,66,0,202,0,0,0,0,134,61,1,196,148,46,14,208
270010210,Waukenabo Twp,0210,Waukenabo Twp,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Central,YES,264,9,0,228,1,0,229,152,65,2,6,1,0,0,0,1,1,228,144,74,2,3,0,223,153,65,0,218,0,0,0,0,153,58,0,211,156,56,17,229
270010215,Wealthwood Twp,0215,Wealthwood Twp,Aitkin,1,8,10,10A,02,09,3001,no data,no data,no data,ImageCast Central,YES,227,9,0,207,2,0,209,127,77,0,3,1,0,0,0,0,1,209,109,92,2,5,0,208,126,76,0,202,0,0,0,0,126,73,0,199,152,45,12,209
270010220,White Pine Twp,0220,White Pine Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Evolution,NO,27,2,25,2,0,0,27,18,7,1,0,0,0,0,0,1,0,27,17,10,0,0,0,27,22,5,0,27,0,0,0,0,20,7,0,27,15,9,3,27
270010225,Williams Twp,0225,Williams Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Evolution,NO,100,9,73,18,0,0,91,69,20,1,0,0,0,0,0,0,1,91,66,20,3,0,0,89,69,19,1,89,0,0,0,0,71,17,0,88,52,30,9,91
270010230,Workman Twp,0230,Workman Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,180,7,0,169,0,0,169,124,41,0,2,1,0,0,0,0,0,168,108,51,0,5,0,164,121,41,2,164,0,0,0,0,117,40,1,158,112,41,16,169
270010240,Northeast Aitkin Unorg,0240,Northeast Aitkin Unorg,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,4,0,0,4,0,0,4,2,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,3,3,0,0,3,0,0,0,0,3,0,0,3,2,1,1,4
270010250,Northwest Aitkin Unorg,0250,Northwest Aitkin Unorg,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Central,YES,244,8,0,221,0,0,221,147,70,1,1,1,0,0,0,0,0,220,138,77,1,4,0,220,147,71,0,218,0,0,0,0,147,68,0,215,133,67,21,221
270030005,Andover P-1,0005,Andover,Anoka,2,6,31,31A,04,10,4002,no data,no data,no data,Digital Scan 200,NO,2432,150,1398,845,4,0,2247,1402,794,14,12,8,0,0,0,0,4,2234,1229,887,48,28,3,2195,1443,730,4,2177,0,0,0,0,1435,713,4,2152,1590,513,144,2247
270030010,Andover P-2,0010,Andover,Anoka,2,6,31,31A,04,10,4002,no data,no data,no data,Digital Scan 200,NO,2239,150,1232,769,3,0,2004,1104,837,11,12,15,0,0,2,3,10,1994,978,904,30,31,2,1945,1145,768,7,1920,0,0,0,0,1138,756,2,1896,1488,360,156,2004
270030015,Andover P-3,0015,Andover,Anoka,2,6,31,31A,05,10,4002,no data,no data,no data,Digital Scan 200,NO,2006,150,1194,644,1,0,1839,1048,752,9,11,3,0,0,0,0,5,1828,894,813,44,34,1,1786,1079,689,2,1770,0,0,0,0,1069,672,0,1741,1377,352,110,1839
270030020,Andover P-4,0020,Andover,Anoka,2,6,31,31A,05,10,4002,no data,no data,no data,Digital Scan 200,NO,1932,151,1126,618,0,0,1744,924,780,5,12,6,1,0,0,1,7,1736,777,887,17,25,2,1708,941,721,2,1664,0,0,0,0,937,686,2,1625,1326,275,143,1744
270030025,Andover P-5,0025,Andover,Anoka,2,6,31,31A,05,10,4002,no data,no data,no data,Digital Scan 200,NO,2069,130,1080,808,1,0,1889,1064,779,11,13,9,0,0,1,0,7,1884,924,858,34,27,0,1843,1120,691,2,1813,0,0,0,0,1077,695,2,1774,1398,332,159,1889
270030030,Andover P-6,0030,Andover,Anoka,2,6,31,31B,05,10,4002,no data,no data,no data,Digital Scan 200,NO,2555,155,1536,832,1,0,2369,1538,770,10,20,12,0,0,0,5,7,2362,1353,888,40,25,0,2306,1549,736,1,2286,0,0,0,0,1585,669,1,2255,1670,511,188,2369
270030035,Andover P-7,0035,Andover,Anoka,2,6,31,31B,05,10,4002,no data,no data,no data,Digital Scan 200,NO,2938,165,1460,1204,0,0,2664,1483,1112,19,10,11,0,2,3,5,10,2655,1309,1229,44,19,5,2606,1565,990,3,2558,0,0,0,0,1622,929,4,2555,2023,449,192,2664
270030040,Andover P-8,0040,Andover,Anoka,2,6,31,31B,05,10,4002,no data,no data,no data,Digital Scan 200,NO,1807,118,1003,630,0,0,1633,935,648,4,17,5,0,0,0,1,10,1620,821,727,31,13,0,1592,947,609,3,1559,0,0,0,0,999,568,4,1571,1261,280,92,1633
270030045,Andover P-9,0045,Andover,Anoka,2,6,35,35B,05,10,4002,no data,no data,no data,Digital Scan 200,NO,2394,149,1436,789,3,0,2228,1214,946,21,14,8,2,0,2,1,8,2216,1063,1058,40,19,4,2184,1295,854,3,2152,0,0,0,0,1244,907,3,2154,1681,387,160,2228
270030050,Andover P-10,0050,Andover,Anoka,2,6,35,35B,05,10,4002,no data,no data,no data,Digital Scan 200,NO,2788,156,1499,1014,3,0,2516,1341,1081,16,26,21,0,0,1,6,10,2502,1191,1190,43,36,2,2462,1432,1000,4,2436,0,0,0,0,1396,1042,3,2441,1897,425,194,2516
270030105,Anoka P-1,0105,Anoka,Anoka,2,3,35,35A,01,10,4001,no data,no data,no data,Digital Scan 200,NO,1119,133,617,314,2,0,933,411,484,8,6,9,1,0,2,2,5,928,343,532,27,13,0,915,411,475,2,888,0,0,0,0,414,467,1,882,752,122,59,933
270030110,Anoka P-2,0110,Anoka,Anoka,2,3,35,35A,01,10,4001,no data,no data,no data,Digital Scan 200,NO,1402,157,722,468,1,0,1191,535,618,11,12,3,1,0,1,1,3,1185,454,633,31,19,4,1141,523,590,2,1115,0,0,0,0,535,592,2,1129,947,148,96,1191
270030115,Anoka P-3,0115,Anoka,Anoka,2,3,35,35A,01,10,4001,no data,no data,no data,Digital Scan 200,NO,1575,102,800,568,2,0,1370,666,662,6,7,6,2,0,0,3,8,1360,547,732,25,27,1,1332,651,648,3,1302,0,0,0,0,664,647,2,1313,1076,189,105,1370
270030120,Anoka P-4,0120,Anoka,Anoka,2,3,35,35A,01,10,4001,no data,no data,no data,Digital Scan 200,NO,1334,106,719,496,0,0,1215,541,647,2,15,2,0,0,0,2,3,1212,470,679,25,16,1,1191,551,624,2,1177,0,0,0,0,547,624,1,1172,959,169,87,1215
270030125,Anoka P-5,0125,Anoka,Anoka,2,3,35,35A,01,10,4001,no data,no data,no data,Digital Scan 200,NO,1226,107,711,348,2,0,1061,494,523,10,8,6,2,1,3,2,5,1054,429,557,39,14,2,1041,480,533,2,1015,0,0,0,0,497,523,4,1024,831,180,50,1061
270030130,Anoka P-6,0130,Anoka,Anoka,2,3,35,35A,01,10,4001,no data,no data,no data,Digital Scan 200,NO,1837,184,699,856,1,0,1556,741,777,10,14,5,0,0,0,0,1,1548,623,826,35,33,3,1520,721,743,3,1467,0,0,0,0,715,762,3,1480,1224,192,140,1556
270030135,Anoka P-7,0135,Anoka,Anoka,2,3,35,35A,04,10,4001,no data,no data,no data,Digital Scan 200,NO,1366,142,868,325,0,0,1193,595,554,6,10,3,5,0,2,2,5,1182,489,617,35,16,1,1158,558,575,0,1133,0,0,0,0,571,577,2,1150,946,160,87,1193
270030140,Anoka P-8,0140,Anoka,Anoka,2,3,35,35A,04,10,4001,no data,no data,no data,Digital Scan 200,NO,1262,85,752,375,1,0,1128,576,517,10,8,2,0,0,0,1,5,1119,480,579,24,16,1,1100,543,521,3,1067,0,0,0,0,551,521,2,1074,858,171,99,1128
270030205,Bethel P-1,0205,Bethel,Anoka,2,6,27,27B,02,10,4005,no data,no data,no data,Digital Scan 200,NO,322,35,222,70,1,0,293,194,92,1,5,0,0,0,0,0,1,293,153,113,6,12,1,285,189,92,1,282,0,0,0,0,180,92,2,274,220,53,20,293
270030305,Blaine W-1 P-1,0305,Blaine,Anoka,2,6,32,32B,06,10,4003,W-01,no data,no data,Digital Scan 200,NO,1033,96,728,212,0,0,940,462,446,4,13,5,1,0,0,0,6,937,389,489,31,13,1,923,479,425,0,904,0,0,0,0,451,457,1,909,751,125,64,940
270030310,Blaine W-1 P-2,0310,Blaine,Anoka,2,6,32,32B,06,10,4003,W-01,no data,no data,Digital Scan 200,NO,2090,170,1207,668,5,0,1880,849,957,10,11,28,4,0,4,3,4,1870,717,1048,29,39,2,1835,875,911,7,1793,0,0,0,0,832,976,3,1811,1477,265,138,1880
270030315,Blaine W-1 P-3,0315,Blaine,Anoka,2,6,32,32B,06,10,4003,W-01,no data,no data,Digital Scan 200,NO,1634,124,972,480,0,0,1452,628,729,10,13,51,1,0,3,2,7,1444,535,808,42,33,3,1421,689,717,1,1407,0,0,0,0,640,764,1,1405,1168,169,115,1452
270030320,Blaine W-1 P-4,0320,Blaine,Anoka,2,6,32,32B,06,10,4004,W-01,no data,no data,Digital Scan 200,NO,1369,98,774,410,1,0,1185,529,612,6,13,7,0,0,1,3,8,1179,427,678,26,21,2,1154,559,584,4,1147,0,0,0,0,521,630,3,1154,979,156,50,1185
270030325,Blaine W-1 P-5,0325,Blaine,Anoka,2,6,32,32B,06,10,4004,W-01,no data,no data,Digital Scan 200,NO,1578,106,855,452,3,0,1310,649,616,6,6,15,0,1,4,1,4,1302,529,696,25,14,2,1266,641,597,2,1240,0,0,0,0,606,644,0,1250,1025,155,130,1310
270030330,Blaine W-1 P-6,0330,Blaine,Anoka,2,6,32,32B,06,10,4003,W-01,no data,no data,Digital Scan 200,NO,1345,145,691,427,1,0,1119,501,573,6,10,16,3,0,0,1,6,1116,421,612,27,26,4,1090,501,554,1,1056,0,0,0,0,472,595,3,1070,923,116,80,1119
270030335,Blaine W-1 P-7,0335,Blaine,Anoka,2,6,32,32B,06,10,4003,W-01,no data,no data,Digital Scan 200,NO,1531,150,948,396,0,0,1344,646,648,11,8,16,0,0,1,1,3,1334,571,695,27,23,2,1318,664,626,5,1295,0,0,0,0,660,638,5,1303,1092,173,79,1344
270030340,Blaine W-1 P-8,0340,Blaine,Anoka,2,6,32,32B,06,10,4004,W-01,no data,no data,Digital Scan 200,NO,1922,116,1037,695,0,0,1732,845,823,11,10,22,0,0,2,1,7,1721,733,886,27,29,2,1677,882,761,2,1645,0,0,0,0,869,806,0,1675,1300,274,158,1732
270030345,Blaine W-1 P-9,0345,Blaine,Anoka,2,6,32,32B,03,10,4004,W-01,no data,no data,Digital Scan 200,NO,1753,160,1004,516,0,0,1520,697,774,7,17,6,1,2,0,1,4,1509,557,861,19,35,0,1472,710,741,1,1452,0,0,0,0,668,779,3,1450,1239,175,106,1520
270030405,Blaine W-2 P-1,0405,Blaine,Anoka,2,6,32,32A,06,10,4004,W-02,no data,no data,Digital Scan 200,NO,1543,145,891,374,0,0,1265,595,631,5,19,5,2,0,1,0,4,1262,458,693,42,29,0,1222,573,615,3,1191,0,0,0,0,591,585,3,1179,1006,145,114,1265
270030410,Blaine W-2 P-2,0410,Blaine,Anoka,2,6,32,32A,06,10,4004,W-02,no data,no data,Digital Scan 200,NO,2145,155,1105,757,1,0,1863,823,966,9,17,29,1,1,4,0,5,1855,662,1067,40,37,3,1809,839,930,3,1772,0,0,0,0,855,888,3,1746,1471,226,166,1863
270030415,Blaine W-2 P-3,0415,Blaine,Anoka,2,6,32,32B,06,10,4004,W-02,no data,no data,Digital Scan 200,NO,2004,140,1015,756,5,0,1776,807,877,7,11,50,2,0,2,3,10,1769,673,983,44,27,3,1730,844,837,4,1685,0,0,0,0,774,916,3,1693,1397,230,149,1776
270030420,Blaine W-2 P-4,0420,Blaine,Anoka,2,6,32,32B,06,10,4004,W-02,no data,no data,Digital Scan 200,NO,1598,84,599,833,2,0,1434,690,683,5,9,24,1,0,1,6,8,1427,579,766,30,26,2,1403,740,634,3,1377,0,0,0,0,733,651,2,1386,1113,219,102,1434
270030425,Blaine W-2 P-5,0425,Blaine,Anoka,2,6,32,32B,06,10,4004,W-02,no data,no data,Digital Scan 200,NO,1639,140,745,704,0,0,1449,687,707,11,14,13,2,0,0,0,8,1442,586,776,17,27,3,1409,723,651,3,1377,0,0,0,0,674,709,4,1387,1155,180,114,1449
270030430,Blaine W-2 P-6,0430,Blaine,Anoka,2,6,32,32B,06,10,4004,W-02,no data,no data,Digital Scan 200,NO,2370,144,860,1265,1,0,2126,1057,965,12,11,53,1,0,2,1,10,2112,931,1059,50,25,4,2069,1135,888,8,2031,0,0,0,0,1065,992,7,2064,1598,345,183,2126
270030435,Blaine W-2 P-7,0435,Blaine,Anoka,2,6,32,32B,06,10,4004,W-02,no data,no data,Digital Scan 200,NO,1575,71,594,828,0,0,1422,666,703,14,9,15,1,0,0,1,9,1418,574,774,26,12,2,1388,744,623,3,1370,0,0,0,0,719,663,1,1383,1145,179,98,1422
270030440,Blaine W-2 P-8,0440,Blaine,Anoka,2,6,32,32B,03,10,4004,W-02,no data,no data,Digital Scan 200,NO,1534,104,867,539,0,0,1406,675,661,8,8,35,0,0,1,3,5,1396,599,723,27,21,1,1371,758,594,2,1354,0,0,0,0,700,654,2,1356,1094,213,99,1406
270030445,Blaine W-2 P-9,0445,Blaine,Anoka,2,6,32,32B,03,10,4005,W-02,no data,no data,Digital Scan 200,NO,1354,102,880,326,2,0,1208,606,568,9,13,3,0,0,0,1,7,1207,497,639,25,19,0,1180,637,523,3,1163,0,0,0,0,602,545,4,1151,931,190,87,1208
270030505,Blaine W-3 P-1,0505,Blaine,Anoka,2,6,32,32A,06,10,4004,W-03,no data,no data,Digital Scan 200,NO,2115,168,1152,705,1,0,1858,887,911,12,20,10,0,0,0,2,11,1853,756,972,40,34,3,1805,943,829,7,1779,0,0,0,0,978,790,6,1774,1438,277,143,1858
270030510,Blaine W-3 P-2,0510,Blaine,Anoka,2,6,32,32A,02,10,4004,W-03,no data,no data,Digital Scan 200,NO,1527,133,847,432,0,0,1279,540,656,11,7,45,0,0,0,1,9,1269,446,704,40,42,9,1241,539,656,8,1203,0,0,0,0,548,641,8,1197,1052,137,90,1279
