county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,Attorney General,,DFL,Hubert H. Humphrey III,4301,62.72
01,Aitkin,Attorney General,,Other,,547,7.98
01,Aitkin,Attorney General,,R,Mike Hatch,2010,29.31
01,Aitkin,Governor,,DFL,John Marty,2749,40.08
01,Aitkin,Governor,,Other,,519,7.57
01,Aitkin,Governor,,R,Arne Carlson,3590,52.35
01,Aitkin,Secretary of State,,DFL,John Lindner,4113,59.97
01,Aitkin,Secretary of State,,Other,,428,6.24
01,Aitkin,Secretary of State,,R,Joanell Dyrstad,2317,33.79
01,Aitkin,State Auditor,,DFL,Mark Dayton,3459,50.42
01,Aitkin,State Auditor,,Other,,611,8.91
01,Aitkin,State Auditor,,R,Judi Dutcher,2791,40.68
01,Aitkin,State Treasurer,,DFL,Michael McGrath,3326,48.50
01,Aitkin,State Treasurer,,Other,,754,10.99
01,Aitkin,State Treasurer,,R,Mike McGrath,2778,40.51
01,Aitkin,U.S. Senate,,DFL,Ann Wynia,2991,43.61
01,Aitkin,U.S. Senate,,Other,,637,9.29
01,Aitkin,U.S. Senate,,R,Rod Grams,3230,47.10
02,Anoka,Attorney General,,DFL,Hubert H. Humphrey III,57945,60.89
02,Anoka,Attorney General,,Other,,10891,11.44
02,Anoka,Attorney General,,R,Mike Hatch,26325,27.66
02,Anoka,Governor,,DFL,John Marty,28906,30.33
02,Anoka,Governor,,Other,,6098,6.40
02,Anoka,Governor,,R,Arne Carlson,60289,63.27
02,Anoka,Secretary of State,,DFL,John Lindner,53033,55.70
02,Anoka,Secretary of State,,Other,,7397,7.77
02,Anoka,Secretary of State,,R,Joanell Dyrstad,34782,36.53
02,Anoka,State Auditor,,DFL,Mark Dayton,37935,39.86
02,Anoka,State Auditor,,Other,,10837,11.39
02,Anoka,State Auditor,,R,Judi Dutcher,46393,48.75
02,Anoka,State Treasurer,,DFL,Michael McGrath,40121,42.19
02,Anoka,State Treasurer,,Other,,14979,15.75
02,Anoka,State Treasurer,,R,Mike McGrath,40006,42.06
02,Anoka,U.S. Senate,,DFL,Ann Wynia,38359,40.31
02,Anoka,U.S. Senate,,Other,,9359,9.84
02,Anoka,U.S. Senate,,R,Rod Grams,47432,49.85
03,Becker,Attorney General,,DFL,Hubert H. Humphrey III,6643,58.78
03,Becker,Attorney General,,Other,,984,8.71
03,Becker,Attorney General,,R,Mike Hatch,3674,32.51
03,Becker,Governor,,DFL,John Marty,3446,30.49
03,Becker,Governor,,Other,,817,7.23
03,Becker,Governor,,R,Arne Carlson,7038,62.28
03,Becker,Secretary of State,,DFL,John Lindner,6111,54.07
03,Becker,Secretary of State,,Other,,715,6.33
03,Becker,Secretary of State,,R,Joanell Dyrstad,4475,39.60
03,Becker,State Auditor,,DFL,Mark Dayton,4957,43.86
03,Becker,State Auditor,,Other,,1225,10.84
03,Becker,State Auditor,,R,Judi Dutcher,5119,45.30
03,Becker,State Treasurer,,DFL,Michael McGrath,4424,39.15
03,Becker,State Treasurer,,Other,,1460,12.92
03,Becker,State Treasurer,,R,Mike McGrath,5417,47.93
03,Becker,U.S. Senate,,DFL,Ann Wynia,4425,39.16
03,Becker,U.S. Senate,,Other,,649,5.74
03,Becker,U.S. Senate,,R,Rod Grams,6227,55.10
04,Beltrami,Attorney General,,DFL,Hubert H. Humphrey III,7402,59.74
04,Beltrami,Attorney General,,Other,,1129,9.11
04,Beltrami,Attorney General,,R,Mike Hatch,3859,31.15
04,Beltrami,Governor,,DFL,John Marty,5215,42.09
04,Beltrami,Governor,,Other,,1037,8.37
04,Beltrami,Governor,,R,Arne Carlson,6138,49.54
04,Beltrami,Secretary of State,,DFL,John Lindner,7029,56.73
04,Beltrami,Secretary of State,,Other,,762,6.15
04,Beltrami,Secretary of State,,R,Joanell Dyrstad,4599,37.12
04,Beltrami,State Auditor,,DFL,Mark Dayton,5950,48.02
04,Beltrami,State Auditor,,Other,,1139,9.19
04,Beltrami,State Auditor,,R,Judi Dutcher,5301,42.78
04,Beltrami,State Treasurer,,DFL,Michael McGrath,5769,46.56
04,Beltrami,State Treasurer,,Other,,1424,11.49
04,Beltrami,State Treasurer,,R,Mike McGrath,5197,41.95
04,Beltrami,U.S. Senate,,DFL,Ann Wynia,5353,43.20
04,Beltrami,U.S. Senate,,Other,,816,6.59
04,Beltrami,U.S. Senate,,R,Rod Grams,6221,50.21
05,Benton,Attorney General,,DFL,Hubert H. Humphrey III,6406,60.38
05,Benton,Attorney General,,Other,,1028,9.69
05,Benton,Attorney General,,R,Mike Hatch,3175,29.93
05,Benton,Governor,,DFL,John Marty,3589,33.83
05,Benton,Governor,,Other,,844,7.96
05,Benton,Governor,,R,Arne Carlson,6176,58.21
05,Benton,Secretary of State,,DFL,John Lindner,6096,57.46
05,Benton,Secretary of State,,Other,,720,6.79
05,Benton,Secretary of State,,R,Joanell Dyrstad,3793,35.75
05,Benton,State Auditor,,DFL,Mark Dayton,4368,41.17
05,Benton,State Auditor,,Other,,1272,11.99
05,Benton,State Auditor,,R,Judi Dutcher,4969,46.84
05,Benton,State Treasurer,,DFL,Michael McGrath,4257,40.13
05,Benton,State Treasurer,,Other,,1563,14.73
05,Benton,State Treasurer,,R,Mike McGrath,4789,45.14
05,Benton,U.S. Senate,,DFL,Ann Wynia,3702,34.89
05,Benton,U.S. Senate,,Other,,839,7.91
05,Benton,U.S. Senate,,R,Rod Grams,6068,57.20
06,Big Stone,Attorney General,,DFL,Hubert H. Humphrey III,1997,67.26
06,Big Stone,Attorney General,,Other,,179,6.03
06,Big Stone,Attorney General,,R,Mike Hatch,793,26.71
06,Big Stone,Governor,,DFL,John Marty,1375,46.31
06,Big Stone,Governor,,Other,,153,5.15
06,Big Stone,Governor,,R,Arne Carlson,1441,48.53
06,Big Stone,Secretary of State,,DFL,John Lindner,1939,65.31
06,Big Stone,Secretary of State,,Other,,140,4.72
06,Big Stone,Secretary of State,,R,Joanell Dyrstad,890,29.98
06,Big Stone,State Auditor,,DFL,Mark Dayton,1648,55.51
06,Big Stone,State Auditor,,Other,,216,7.28
06,Big Stone,State Auditor,,R,Judi Dutcher,1105,37.22
06,Big Stone,State Treasurer,,DFL,Michael McGrath,1599,53.86
06,Big Stone,State Treasurer,,Other,,235,7.92
06,Big Stone,State Treasurer,,R,Mike McGrath,1135,38.23
06,Big Stone,U.S. Senate,,DFL,Ann Wynia,1340,45.13
06,Big Stone,U.S. Senate,,Other,,175,5.89
06,Big Stone,U.S. Senate,,R,Rod Grams,1454,48.97
07,Blue Earth,Attorney General,,DFL,Hubert H. Humphrey III,12240,61.43
07,Blue Earth,Attorney General,,Other,,1969,9.88
07,Blue Earth,Attorney General,,R,Mike Hatch,5716,28.69
