county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,Attorney General,,DFL,Mike Hatch,4371,56.88
01,Aitkin,Attorney General,,IND,,434,5.65
01,Aitkin,Attorney General,,R,Mike Hatch,2879,37.47
01,Aitkin,Governor,,CP,,20,0.25
01,Aitkin,Governor,,DFL,Roger Moe,3064,38.63
01,Aitkin,Governor,,GP,,114,1.44
01,Aitkin,Governor,,I,,46,0.58
01,Aitkin,Governor,,IND,Tim Penny,1346,16.97
01,Aitkin,Governor,,R,Tim Pawlenty,3341,42.13
01,Aitkin,Secretary of State,,DFL,Deborah L. Anderson,3593,46.40
01,Aitkin,Secretary of State,,GP,,120,1.55
01,Aitkin,Secretary of State,,IND,,506,6.53
01,Aitkin,Secretary of State,,R,Mary Kiffmeyer,3524,45.51
01,Aitkin,State Auditor,,DFL,Judi Dutcher,3626,48.20
01,Aitkin,State Auditor,,GP,,154,2.05
01,Aitkin,State Auditor,,IND,,741,9.85
01,Aitkin,State Auditor,,R,Patricia Anderson Awada,3002,39.90
01,Aitkin,U.S. Senate,,CP,,7,0.09
01,Aitkin,U.S. Senate,,DFL,Walter Mondale,3855,48.90
01,Aitkin,U.S. Senate,,GP,,41,0.52
01,Aitkin,U.S. Senate,,IND,Jim Moore,269,3.41
01,Aitkin,U.S. Senate,,R,Norm Coleman,3711,47.08
02,Anoka,Attorney General,,DFL,Mike Hatch,70554,52.07
02,Anoka,Attorney General,,IND,,5425,4.00
02,Anoka,Attorney General,,R,Mike Hatch,59509,43.92
02,Anoka,Governor,,CP,,156,0.11
02,Anoka,Governor,,DFL,Roger Moe,45553,32.82
02,Anoka,Governor,,GP,,2172,1.56
02,Anoka,Governor,,I,,575,0.41
02,Anoka,Governor,,IND,Tim Penny,19161,13.81
02,Anoka,Governor,,R,Tim Pawlenty,71169,51.28
02,Anoka,Secretary of State,,DFL,Deborah L. Anderson,56398,41.86
02,Anoka,Secretary of State,,GP,,2276,1.69
02,Anoka,Secretary of State,,IND,,6502,4.83
02,Anoka,Secretary of State,,R,Mary Kiffmeyer,69538,51.62
02,Anoka,State Auditor,,DFL,Judi Dutcher,54485,41.53
02,Anoka,State Auditor,,GP,,3249,2.48
02,Anoka,State Auditor,,IND,,10225,7.79
02,Anoka,State Auditor,,R,Patricia Anderson Awada,63227,48.20
02,Anoka,U.S. Senate,,CP,,129,0.09
02,Anoka,U.S. Senate,,DFL,Walter Mondale,57511,41.36
02,Anoka,U.S. Senate,,GP,,498,0.36
02,Anoka,U.S. Senate,,IND,Jim Moore,2722,1.96
02,Anoka,U.S. Senate,,R,Norm Coleman,78176,56.23
03,Becker,Attorney General,,DFL,Mike Hatch,6423,50.20
03,Becker,Attorney General,,IND,,555,4.34
03,Becker,Attorney General,,R,Mike Hatch,5817,45.46
03,Becker,Governor,,CP,,20,0.15
03,Becker,Governor,,DFL,Roger Moe,5384,40.91
03,Becker,Governor,,GP,,161,1.22
03,Becker,Governor,,I,,59,0.45
03,Becker,Governor,,IND,Tim Penny,1392,10.58
03,Becker,Governor,,R,Tim Pawlenty,6145,46.69
03,Becker,Secretary of State,,DFL,Deborah L. Anderson,5736,44.65
03,Becker,Secretary of State,,GP,,180,1.40
03,Becker,Secretary of State,,IND,,638,4.97
03,Becker,Secretary of State,,R,Mary Kiffmeyer,6294,48.99
03,Becker,State Auditor,,DFL,Judi Dutcher,5401,42.22
03,Becker,State Auditor,,GP,,313,2.45
03,Becker,State Auditor,,IND,,1081,8.45
03,Becker,State Auditor,,R,Patricia Anderson Awada,5998,46.89
03,Becker,U.S. Senate,,CP,,24,0.18
03,Becker,U.S. Senate,,DFL,Walter Mondale,5841,44.44
03,Becker,U.S. Senate,,GP,,32,0.24
03,Becker,U.S. Senate,,IND,Jim Moore,402,3.06
03,Becker,U.S. Senate,,R,Norm Coleman,6845,52.08
04,Beltrami,Attorney General,,DFL,Mike Hatch,8127,55.42
04,Beltrami,Attorney General,,IND,,559,3.81
04,Beltrami,Attorney General,,R,Mike Hatch,5978,40.77
04,Beltrami,Governor,,CP,,25,0.17
04,Beltrami,Governor,,DFL,Roger Moe,6720,44.90
04,Beltrami,Governor,,GP,,533,3.56
04,Beltrami,Governor,,I,,42,0.28
04,Beltrami,Governor,,IND,Tim Penny,1250,8.35
04,Beltrami,Governor,,R,Tim Pawlenty,6395,42.73
04,Beltrami,Secretary of State,,DFL,Deborah L. Anderson,6914,47.10
04,Beltrami,Secretary of State,,GP,,553,3.77
04,Beltrami,Secretary of State,,IND,,537,3.66
04,Beltrami,Secretary of State,,R,Mary Kiffmeyer,6676,45.48
04,Beltrami,State Auditor,,DFL,Judi Dutcher,6950,48.28
04,Beltrami,State Auditor,,GP,,633,4.40
04,Beltrami,State Auditor,,IND,,804,5.59
04,Beltrami,State Auditor,,R,Patricia Anderson Awada,6007,41.73
04,Beltrami,U.S. Senate,,CP,,24,0.16
04,Beltrami,U.S. Senate,,DFL,Walter Mondale,7433,49.27
04,Beltrami,U.S. Senate,,GP,,141,0.93
04,Beltrami,U.S. Senate,,IND,Jim Moore,246,1.63
04,Beltrami,U.S. Senate,,R,Norm Coleman,7243,48.01
05,Benton,Attorney General,,DFL,Mike Hatch,7087,54.35
05,Benton,Attorney General,,IND,,689,5.28
05,Benton,Attorney General,,R,Mike Hatch,5264,40.37
05,Benton,Governor,,CP,,13,0.10
05,Benton,Governor,,DFL,Roger Moe,4336,32.38
05,Benton,Governor,,GP,,335,2.50
05,Benton,Governor,,I,,53,0.40
05,Benton,Governor,,IND,Tim Penny,2129,15.90
05,Benton,Governor,,R,Tim Pawlenty,6524,48.72
05,Benton,Secretary of State,,DFL,Deborah L. Anderson,5228,39.69
05,Benton,Secretary of State,,GP,,247,1.88
05,Benton,Secretary of State,,IND,,534,4.05
05,Benton,Secretary of State,,R,Mary Kiffmeyer,7164,54.38
05,Benton,State Auditor,,DFL,Judi Dutcher,5526,43.25
05,Benton,State Auditor,,GP,,457,3.58
05,Benton,State Auditor,,IND,,1061,8.30
05,Benton,State Auditor,,R,Patricia Anderson Awada,5733,44.87
05,Benton,U.S. Senate,,CP,,14,0.10
05,Benton,U.S. Senate,,DFL,Walter Mondale,5807,43.05
05,Benton,U.S. Senate,,GP,,83,0.62
05,Benton,U.S. Senate,,IND,Jim Moore,391,2.90
05,Benton,U.S. Senate,,R,Norm Coleman,7193,53.33
06,Big Stone,Attorney General,,DFL,Mike Hatch,1562,59.12
06,Big Stone,Attorney General,,IND,,119,4.50
06,Big Stone,Attorney General,,R,Mike Hatch,961,36.37
06,Big Stone,Governor,,CP,,7,0.26
06,Big Stone,Governor,,DFL,Roger Moe,1192,44.61
06,Big Stone,Governor,,GP,,25,0.94
06,Big Stone,Governor,,I,,17,0.64
06,Big Stone,Governor,,IND,Tim Penny,315,11.79
06,Big Stone,Governor,,R,Tim Pawlenty,1116,41.77
06,Big Stone,Secretary of State,,DFL,Deborah L. Anderson,1362,51.11
06,Big Stone,Secretary of State,,GP,,37,1.39
06,Big Stone,Secretary of State,,IND,,103,3.86
06,Big Stone,Secretary of State,,R,Mary Kiffmeyer,1163,43.64
06,Big Stone,State Auditor,,DFL,Judi Dutcher,1434,54.57
06,Big Stone,State Auditor,,GP,,51,1.94
06,Big Stone,State Auditor,,IND,,151,5.75
06,Big Stone,State Auditor,,R,Patricia Anderson Awada,992,37.75
06,Big Stone,U.S. Senate,,CP,,3,0.12
06,Big Stone,U.S. Senate,,DFL,Walter Mondale,1337,51.29
06,Big Stone,U.S. Senate,,GP,,8,0.31
06,Big Stone,U.S. Senate,,IND,Jim Moore,86,3.30
06,Big Stone,U.S. Senate,,R,Norm Coleman,1173,44.99
07,Blue Earth,Attorney General,,DFL,Mike Hatch,12511,53.31
07,Blue Earth,Attorney General,,IND,,1343,5.72
07,Blue Earth,Attorney General,,R,Mike Hatch,9616,40.97
07,Blue Earth,Governor,,CP,,30,0.13
07,Blue Earth,Governor,,DFL,Roger Moe,6333,26.43
07,Blue Earth,Governor,,GP,,601,2.51
07,Blue Earth,Governor,,I,,67,0.28
07,Blue Earth,Governor,,IND,Tim Penny,8001,33.40
07,Blue Earth,Governor,,R,Tim Pawlenty,8925,37.25
07,Blue Earth,Secretary of State,,DFL,Deborah L. Anderson,10755,45.88
07,Blue Earth,Secretary of State,,GP,,853,3.64
07,Blue Earth,Secretary of State,,IND,,1508,6.43
07,Blue Earth,Secretary of State,,R,Mary Kiffmeyer,10325,44.05
07,Blue Earth,State Auditor,,DFL,Judi Dutcher,10107,43.84
07,Blue Earth,State Auditor,,GP,,983,4.26
07,Blue Earth,State Auditor,,IND,,2176,9.44
07,Blue Earth,State Auditor,,R,Patricia Anderson Awada,9790,42.46
07,Blue Earth,U.S. Senate,,CP,,32,0.13
07,Blue Earth,U.S. Senate,,DFL,Walter Mondale,11435,47.55
07,Blue Earth,U.S. Senate,,GP,,245,1.02
07,Blue Earth,U.S. Senate,,IND,Jim Moore,719,2.99
07,Blue Earth,U.S. Senate,,R,Norm Coleman,11615,48.30
08,Brown,Attorney General,,DFL,Mike Hatch,5292,47.48
08,Brown,Attorney General,,IND,,538,4.83
08,Brown,Attorney General,,R,Mike Hatch,5316,47.69
08,Brown,Governor,,CP,,13,0.11
08,Brown,Governor,,DFL,Roger Moe,2731,24.06
08,Brown,Governor,,GP,,142,1.25
08,Brown,Governor,,I,,44,0.39
08,Brown,Governor,,IND,Tim Penny,2586,22.79
08,Brown,Governor,,R,Tim Pawlenty,5833,51.40
08,Brown,Secretary of State,,DFL,Deborah L. Anderson,4170,37.56
08,Brown,Secretary of State,,GP,,237,2.13
08,Brown,Secretary of State,,IND,,716,6.45
08,Brown,Secretary of State,,R,Mary Kiffmeyer,5978,53.85
08,Brown,State Auditor,,DFL,Judi Dutcher,4134,37.73
08,Brown,State Auditor,,GP,,267,2.44
08,Brown,State Auditor,,IND,,1028,9.38
08,Brown,State Auditor,,R,Patricia Anderson Awada,5527,50.45
08,Brown,U.S. Senate,,CP,,11,0.10
08,Brown,U.S. Senate,,DFL,Walter Mondale,4404,38.63
08,Brown,U.S. Senate,,GP,,47,0.41
08,Brown,U.S. Senate,,IND,Jim Moore,375,3.29
08,Brown,U.S. Senate,,R,Norm Coleman,6564,57.57
09,Carlton,Attorney General,,DFL,Mike Hatch,9739,69.14
09,Carlton,Attorney General,,IND,,543,3.85
09,Carlton,Attorney General,,R,Mike Hatch,3804,27.01
09,Carlton,Governor,,CP,,20,0.14
09,Carlton,Governor,,DFL,Roger Moe,8198,57.73
09,Carlton,Governor,,GP,,177,1.25
09,Carlton,Governor,,I,,49,0.35
09,Carlton,Governor,,IND,Tim Penny,1489,10.49
09,Carlton,Governor,,R,Tim Pawlenty,4267,30.05
09,Carlton,Secretary of State,,DFL,Deborah L. Anderson,8588,61.17
09,Carlton,Secretary of State,,GP,,244,1.74
09,Carlton,Secretary of State,,IND,,681,4.85
09,Carlton,Secretary of State,,R,Mary Kiffmeyer,4527,32.24
09,Carlton,State Auditor,,DFL,Judi Dutcher,8075,58.69
09,Carlton,State Auditor,,GP,,322,2.34
09,Carlton,State Auditor,,IND,,1230,8.94
09,Carlton,State Auditor,,R,Patricia Anderson Awada,4131,30.03
09,Carlton,U.S. Senate,,CP,,18,0.13
09,Carlton,U.S. Senate,,DFL,Walter Mondale,8529,60.90
09,Carlton,U.S. Senate,,GP,,52,0.37
09,Carlton,U.S. Senate,,IND,Jim Moore,322,2.30
09,Carlton,U.S. Senate,,R,Norm Coleman,5083,36.30
10,Carver,Attorney General,,DFL,Mike Hatch,14105,41.70
10,Carver,Attorney General,,IND,,1161,3.43
10,Carver,Attorney General,,R,Mike Hatch,18560,54.87
10,Carver,Governor,,CP,,26,0.07
10,Carver,Governor,,DFL,Roger Moe,7848,22.63
10,Carver,Governor,,GP,,498,1.44
10,Carver,Governor,,I,,86,0.25
10,Carver,Governor,,IND,Tim Penny,4826,13.92
10,Carver,Governor,,R,Tim Pawlenty,21396,61.70
10,Carver,Secretary of State,,DFL,Deborah L. Anderson,10412,30.96
10,Carver,Secretary of State,,GP,,600,1.78
10,Carver,Secretary of State,,IND,,1488,4.42
10,Carver,Secretary of State,,R,Mary Kiffmeyer,21134,62.84
10,Carver,State Auditor,,DFL,Judi Dutcher,10064,30.67
10,Carver,State Auditor,,GP,,802,2.44
10,Carver,State Auditor,,IND,,2421,7.38
10,Carver,State Auditor,,R,Patricia Anderson Awada,19524,59.50
10,Carver,U.S. Senate,,CP,,28,0.08
10,Carver,U.S. Senate,,DFL,Walter Mondale,11072,31.85
10,Carver,U.S. Senate,,GP,,89,0.26
10,Carver,U.S. Senate,,IND,Jim Moore,605,1.74
10,Carver,U.S. Senate,,R,Norm Coleman,22966,66.07
11,Cass,Attorney General,,DFL,Mike Hatch,6149,50.08
11,Cass,Attorney General,,IND,,591,4.81
11,Cass,Attorney General,,R,Mike Hatch,5538,45.11
11,Cass,Governor,,CP,,8,0.06
11,Cass,Governor,,DFL,Roger Moe,4174,33.51
11,Cass,Governor,,GP,,249,2.00
11,Cass,Governor,,I,,68,0.55
11,Cass,Governor,,IND,Tim Penny,1843,14.79
11,Cass,Governor,,R,Tim Pawlenty,6115,49.09
11,Cass,Secretary of State,,DFL,Deborah L. Anderson,4812,39.19
11,Cass,Secretary of State,,GP,,291,2.37
11,Cass,Secretary of State,,IND,,640,5.21
11,Cass,Secretary of State,,R,Mary Kiffmeyer,6537,53.23
11,Cass,State Auditor,,DFL,Judi Dutcher,5059,42.06
11,Cass,State Auditor,,GP,,335,2.79
11,Cass,State Auditor,,IND,,954,7.93
11,Cass,State Auditor,,R,Patricia Anderson Awada,5680,47.22
11,Cass,U.S. Senate,,CP,,16,0.13
11,Cass,U.S. Senate,,DFL,Walter Mondale,5013,41.17
11,Cass,U.S. Senate,,GP,,75,0.62
11,Cass,U.S. Senate,,IND,Jim Moore,353,2.90
11,Cass,U.S. Senate,,R,Norm Coleman,6720,55.19
12,Chippewa,Attorney General,,DFL,Mike Hatch,3509,61.10
12,Chippewa,Attorney General,,IND,,237,4.13
12,Chippewa,Attorney General,,R,Mike Hatch,1997,34.77
12,Chippewa,Governor,,CP,,5,0.09
12,Chippewa,Governor,,DFL,Roger Moe,2394,40.90
12,Chippewa,Governor,,GP,,69,1.18
12,Chippewa,Governor,,I,,19,0.32
12,Chippewa,Governor,,IND,Tim Penny,1117,19.08
12,Chippewa,Governor,,R,Tim Pawlenty,2250,38.44
12,Chippewa,Secretary of State,,DFL,Deborah L. Anderson,2965,51.45
12,Chippewa,Secretary of State,,GP,,73,1.27
12,Chippewa,Secretary of State,,IND,,296,5.14
12,Chippewa,Secretary of State,,R,Mary Kiffmeyer,2429,42.15
12,Chippewa,State Auditor,,DFL,Judi Dutcher,2934,51.54
12,Chippewa,State Auditor,,GP,,145,2.55
12,Chippewa,State Auditor,,IND,,438,7.69
12,Chippewa,State Auditor,,R,Patricia Anderson Awada,2176,38.22
12,Chippewa,U.S. Senate,,CP,,2,0.03
12,Chippewa,U.S. Senate,,DFL,Walter Mondale,3173,54.27
12,Chippewa,U.S. Senate,,GP,,17,0.29
12,Chippewa,U.S. Senate,,IND,Jim Moore,167,2.86
12,Chippewa,U.S. Senate,,R,Norm Coleman,2488,42.55
13,Chisago,Attorney General,,DFL,Mike Hatch,10750,50.24
13,Chisago,Attorney General,,IND,,936,4.37
13,Chisago,Attorney General,,R,Mike Hatch,9712,45.39
13,Chisago,Governor,,CP,,28,0.13
13,Chisago,Governor,,DFL,Roger Moe,6755,30.82
13,Chisago,Governor,,GP,,364,1.66
13,Chisago,Governor,,I,,101,0.46
13,Chisago,Governor,,IND,Tim Penny,2879,13.14
13,Chisago,Governor,,R,Tim Pawlenty,11791,53.80
13,Chisago,Secretary of State,,DFL,Deborah L. Anderson,8742,40.87
13,Chisago,Secretary of State,,GP,,370,1.73
13,Chisago,Secretary of State,,IND,,1117,5.22
13,Chisago,Secretary of State,,R,Mary Kiffmeyer,11159,52.17
13,Chisago,State Auditor,,DFL,Judi Dutcher,8435,40.34
13,Chisago,State Auditor,,GP,,523,2.50
13,Chisago,State Auditor,,IND,,1672,8.00
13,Chisago,State Auditor,,R,Patricia Anderson Awada,10278,49.16
13,Chisago,U.S. Senate,,CP,,28,0.13
13,Chisago,U.S. Senate,,DFL,Walter Mondale,8660,39.60
13,Chisago,U.S. Senate,,GP,,66,0.30
13,Chisago,U.S. Senate,,IND,Jim Moore,549,2.51
13,Chisago,U.S. Senate,,R,Norm Coleman,12567,57.46
14,Clay,Attorney General,,DFL,Mike Hatch,11243,57.41
14,Clay,Attorney General,,IND,,730,3.73
14,Clay,Attorney General,,R,Mike Hatch,7611,38.86
14,Clay,Governor,,CP,,26,0.13
14,Clay,Governor,,DFL,Roger Moe,9956,48.90
14,Clay,Governor,,GP,,302,1.48
14,Clay,Governor,,I,,79,0.39
14,Clay,Governor,,IND,Tim Penny,1707,8.38
14,Clay,Governor,,R,Tim Pawlenty,8292,40.72
14,Clay,Secretary of State,,DFL,Deborah L. Anderson,10424,52.63
14,Clay,Secretary of State,,GP,,360,1.82
14,Clay,Secretary of State,,IND,,908,4.58
14,Clay,Secretary of State,,R,Mary Kiffmeyer,8115,40.97
14,Clay,State Auditor,,DFL,Judi Dutcher,9699,49.59
14,Clay,State Auditor,,GP,,841,4.30
14,Clay,State Auditor,,IND,,1237,6.32
14,Clay,State Auditor,,R,Patricia Anderson Awada,7782,39.79
14,Clay,U.S. Senate,,CP,,22,0.11
14,Clay,U.S. Senate,,DFL,Walter Mondale,10454,51.27
14,Clay,U.S. Senate,,GP,,60,0.29
14,Clay,U.S. Senate,,IND,Jim Moore,489,2.40
14,Clay,U.S. Senate,,R,Norm Coleman,9365,45.93
15,Clearwater,Attorney General,,DFL,Mike Hatch,1840,51.64
15,Clearwater,Attorney General,,IND,,150,4.21
15,Clearwater,Attorney General,,R,Mike Hatch,1573,44.15
15,Clearwater,Governor,,CP,,9,0.25
15,Clearwater,Governor,,DFL,Roger Moe,1705,46.74
15,Clearwater,Governor,,GP,,51,1.40
15,Clearwater,Governor,,I,,13,0.36
15,Clearwater,Governor,,IND,Tim Penny,273,7.48
15,Clearwater,Governor,,R,Tim Pawlenty,1597,43.78
15,Clearwater,Secretary of State,,DFL,Deborah L. Anderson,1643,45.53
15,Clearwater,Secretary of State,,GP,,57,1.58
15,Clearwater,Secretary of State,,IND,,135,3.74
15,Clearwater,Secretary of State,,R,Mary Kiffmeyer,1774,49.15
15,Clearwater,State Auditor,,DFL,Judi Dutcher,1647,46.16
15,Clearwater,State Auditor,,GP,,81,2.27
15,Clearwater,State Auditor,,IND,,221,6.19
15,Clearwater,State Auditor,,R,Patricia Anderson Awada,1619,45.38
15,Clearwater,U.S. Senate,,CP,,3,0.08
15,Clearwater,U.S. Senate,,DFL,Walter Mondale,1746,47.80
15,Clearwater,U.S. Senate,,GP,,29,0.79
15,Clearwater,U.S. Senate,,IND,Jim Moore,85,2.33
15,Clearwater,U.S. Senate,,R,Norm Coleman,1790,49.00
16,Cook,Attorney General,,DFL,Mike Hatch,1604,58.31
16,Cook,Attorney General,,IND,,165,6.00
16,Cook,Attorney General,,R,Mike Hatch,982,35.70
16,Cook,Governor,,CP,,25,0.89
16,Cook,Governor,,DFL,Roger Moe,1228,43.52
16,Cook,Governor,,GP,,148,5.24
16,Cook,Governor,,I,,18,0.64
16,Cook,Governor,,IND,Tim Penny,441,15.63
16,Cook,Governor,,R,Tim Pawlenty,962,34.09
16,Cook,Secretary of State,,DFL,Deborah L. Anderson,1239,44.42
16,Cook,Secretary of State,,GP,,165,5.92
16,Cook,Secretary of State,,IND,,150,5.38
16,Cook,Secretary of State,,R,Mary Kiffmeyer,1235,44.28
16,Cook,State Auditor,,DFL,Judi Dutcher,1239,45.80
16,Cook,State Auditor,,GP,,160,5.91
16,Cook,State Auditor,,IND,,268,9.91
16,Cook,State Auditor,,R,Patricia Anderson Awada,1038,38.37
16,Cook,U.S. Senate,,CP,,24,0.93
16,Cook,U.S. Senate,,DFL,Walter Mondale,1240,48.02
16,Cook,U.S. Senate,,GP,,23,0.89
16,Cook,U.S. Senate,,IND,Jim Moore,115,4.45
16,Cook,U.S. Senate,,R,Norm Coleman,1180,45.70
17,Cottonwood,Attorney General,,DFL,Mike Hatch,2941,53.40
17,Cottonwood,Attorney General,,IND,,182,3.30
17,Cottonwood,Attorney General,,R,Mike Hatch,2385,43.30
17,Cottonwood,Governor,,CP,,6,0.11
17,Cottonwood,Governor,,DFL,Roger Moe,1813,32.74
17,Cottonwood,Governor,,GP,,66,1.19
17,Cottonwood,Governor,,I,,23,0.42
17,Cottonwood,Governor,,IND,Tim Penny,992,17.91
17,Cottonwood,Governor,,R,Tim Pawlenty,2638,47.63
17,Cottonwood,Secretary of State,,DFL,Deborah L. Anderson,2466,44.93
17,Cottonwood,Secretary of State,,GP,,85,1.55
17,Cottonwood,Secretary of State,,IND,,237,4.32
17,Cottonwood,Secretary of State,,R,Mary Kiffmeyer,2700,49.20
17,Cottonwood,State Auditor,,DFL,Judi Dutcher,2485,45.76
17,Cottonwood,State Auditor,,GP,,90,1.66
17,Cottonwood,State Auditor,,IND,,351,6.46
