county_code,county,office,district,party,candidate,votes,pct
12,Chippewa,U.S. Senate,,R,Rod Grams,2668,42.76
13,Chisago,President,,DFL,Al Gore,9593,44.19
13,Chisago,President,,GP,Ralph Nader,1116,5.14
13,Chisago,President,,LIB,Harry Browne,44,0.20
13,Chisago,President,,R,George W. Bush,10937,50.38
13,Chisago,President,,RP,Pat Buchanan,18,0.08
13,Chisago,U.S. Senate,,DFL,Mark Dayton,9289,43.37
13,Chisago,U.S. Senate,,IND,Jim Gibson,1468,6.85
13,Chisago,U.S. Senate,,R,Rod Grams,10663,49.78
14,Clay,President,,DFL,Al Gore,10128,44.26
14,Clay,President,,GP,Ralph Nader,963,4.21
14,Clay,President,,LIB,Harry Browne,53,0.23
14,Clay,President,,R,George W. Bush,11712,51.18
14,Clay,President,,RP,Pat Buchanan,27,0.12
14,Clay,U.S. Senate,,DFL,Mark Dayton,11647,51.65
14,Clay,U.S. Senate,,IND,Jim Gibson,611,2.71
14,Clay,U.S. Senate,,R,Rod Grams,10293,45.64
15,Clearwater,President,,DFL,Al Gore,1466,39.14
15,Clearwater,President,,GP,Ralph Nader,134,3.58
15,Clearwater,President,,LIB,Harry Browne,4,0.11
15,Clearwater,President,,R,George W. Bush,2137,57.05
15,Clearwater,President,,RP,Pat Buchanan,5,0.13
15,Clearwater,U.S. Senate,,DFL,Mark Dayton,1575,42.33
15,Clearwater,U.S. Senate,,IND,Jim Gibson,77,2.07
15,Clearwater,U.S. Senate,,R,Rod Grams,2069,55.60
16,Cook,President,,DFL,Al Gore,1171,42.29
16,Cook,President,,GP,Ralph Nader,290,10.47
16,Cook,President,,LIB,Harry Browne,8,0.29
16,Cook,President,,R,George W. Bush,1295,46.77
16,Cook,President,,RP,Pat Buchanan,5,0.18
16,Cook,U.S. Senate,,DFL,Mark Dayton,1377,51.25
16,Cook,U.S. Senate,,IND,Jim Gibson,86,3.20
16,Cook,U.S. Senate,,R,Rod Grams,1224,45.55
17,Cottonwood,President,,DFL,Al Gore,2503,41.09
17,Cottonwood,President,,GP,Ralph Nader,208,3.41
17,Cottonwood,President,,LIB,Harry Browne,7,0.11
17,Cottonwood,President,,R,George W. Bush,3369,55.31
17,Cottonwood,President,,RP,Pat Buchanan,4,0.07
17,Cottonwood,U.S. Senate,,DFL,Mark Dayton,2807,46.17
17,Cottonwood,U.S. Senate,,IND,Jim Gibson,224,3.68
17,Cottonwood,U.S. Senate,,R,Rod Grams,3049,50.15
18,Crow Wing,President,,DFL,Al Gore,11255,40.67
18,Crow Wing,President,,GP,Ralph Nader,1314,4.75
18,Crow Wing,President,,LIB,Harry Browne,35,0.13
18,Crow Wing,President,,R,George W. Bush,15035,54.33
18,Crow Wing,President,,RP,Pat Buchanan,35,0.13
18,Crow Wing,U.S. Senate,,DFL,Mark Dayton,13122,47.59
18,Crow Wing,U.S. Senate,,IND,Jim Gibson,1251,4.54
18,Crow Wing,U.S. Senate,,R,Rod Grams,13199,47.87
19,Dakota,President,,DFL,Al Gore,85446,47.20
19,Dakota,President,,GP,Ralph Nader,7799,4.31
19,Dakota,President,,LIB,Harry Browne,381,0.21
19,Dakota,President,,R,George W. Bush,87250,48.20
19,Dakota,President,,RP,Pat Buchanan,138,0.08
19,Dakota,U.S. Senate,,DFL,Mark Dayton,82412,46.36
19,Dakota,U.S. Senate,,IND,Jim Gibson,11995,6.75
19,Dakota,U.S. Senate,,R,Rod Grams,83356,46.89
20,Dodge,President,,DFL,Al Gore,3370,42.46
20,Dodge,President,,GP,Ralph Nader,327,4.12
20,Dodge,President,,LIB,Harry Browne,18,0.23
20,Dodge,President,,R,George W. Bush,4213,53.08
20,Dodge,President,,RP,Pat Buchanan,9,0.11
20,Dodge,U.S. Senate,,DFL,Mark Dayton,3491,44.36
20,Dodge,U.S. Senate,,IND,Jim Gibson,281,3.57
20,Dodge,U.S. Senate,,R,Rod Grams,4098,52.07
21,Douglas,President,,DFL,Al Gore,6352,37.47
21,Douglas,President,,GP,Ralph Nader,746,4.40
21,Douglas,President,,LIB,Harry Browne,29,0.17
21,Douglas,President,,R,George W. Bush,9811,57.88
21,Douglas,President,,RP,Pat Buchanan,13,0.08
21,Douglas,U.S. Senate,,DFL,Mark Dayton,7257,43.25
21,Douglas,U.S. Senate,,IND,Jim Gibson,738,4.40
