county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,President,,CP,,22,0.23
01,Aitkin,President,,DFL,Barack Obama,4595,48.96
01,Aitkin,President,,GP,Cynthia McKinney,16,0.17
01,Aitkin,President,,IND,Ralph Nader,132,1.41
01,Aitkin,President,,LIB,Bob Barr,26,0.28
01,Aitkin,President,,R,John McCain,4589,48.90
01,Aitkin,President,,SWP,,5,0.05
01,Aitkin,U.S. Senate,,CP,,32,0.34
01,Aitkin,U.S. Senate,,DFL,Al Franken,3893,41.63
01,Aitkin,U.S. Senate,,IND,Dean Barkley,1770,18.93
01,Aitkin,U.S. Senate,,LIB,,40,0.43
01,Aitkin,U.S. Senate,,R,Norm Coleman,3617,38.68
02,Anoka,President,,CP,,390,0.21
02,Anoka,President,,DFL,Barack Obama,86976,47.89
02,Anoka,President,,GP,Cynthia McKinney,322,0.18
02,Anoka,President,,IND,Ralph Nader,1954,1.08
02,Anoka,President,,LIB,Bob Barr,594,0.33
02,Anoka,President,,R,John McCain,91357,50.30
02,Anoka,President,,SWP,,23,0.01
02,Anoka,U.S. Senate,,CP,,536,0.30
02,Anoka,U.S. Senate,,DFL,Al Franken,66800,36.92
02,Anoka,U.S. Senate,,IND,Dean Barkley,30504,16.86
02,Anoka,U.S. Senate,,LIB,,771,0.43
02,Anoka,U.S. Senate,,R,Norm Coleman,82308,45.49
03,Becker,President,,CP,,37,0.22
03,Becker,President,,DFL,Barack Obama,7687,45.46
03,Becker,President,,GP,Cynthia McKinney,35,0.21
03,Becker,President,,IND,Ralph Nader,243,1.44
03,Becker,President,,LIB,Bob Barr,47,0.28
03,Becker,President,,R,John McCain,8851,52.34
03,Becker,President,,SWP,,10,0.06
03,Becker,U.S. Senate,,CP,,70,0.42
03,Becker,U.S. Senate,,DFL,Al Franken,6016,35.71
03,Becker,U.S. Senate,,IND,Dean Barkley,2226,13.21
03,Becker,U.S. Senate,,LIB,,100,0.59
03,Becker,U.S. Senate,,R,Norm Coleman,8437,50.07
04,Beltrami,President,,CP,,58,0.26
04,Beltrami,President,,DFL,Barack Obama,12019,54.20
04,Beltrami,President,,GP,Cynthia McKinney,46,0.21
04,Beltrami,President,,IND,Ralph Nader,218,0.98
04,Beltrami,President,,LIB,Bob Barr,62,0.28
04,Beltrami,President,,R,John McCain,9762,44.02
04,Beltrami,President,,SWP,,9,0.04
04,Beltrami,U.S. Senate,,CP,,94,0.43
04,Beltrami,U.S. Senate,,DFL,Al Franken,10033,45.63
04,Beltrami,U.S. Senate,,IND,Dean Barkley,2267,10.31
04,Beltrami,U.S. Senate,,LIB,,139,0.63
04,Beltrami,U.S. Senate,,R,Norm Coleman,9454,43.00
