FIPS_VTD,Precinct Name,CC,FIPS,PRCT,LEG,7am,EDR,Signatures,AB-Reg,AB-Fed,AB-Pres,Ballots,PresIR,PresDFL,PresOther,CongIR,CongDFL,CongOther,MNSenIR,MNSenDFL,MNSenOther,MNLegIR,MNLegDFL,MNLegOther
0010005,AITKIN,1,001,5,03B,1221,50,835,4,93,0,932,329,373,230,362,443,127,374,511,47,409,461,62
0010010,AITKIN TWP.,1,001,10,03B,658,73,498,2,28,0,528,193,200,135,216,241,71,206,301,21,237,268,23
0010015,BALL BLUFF TWP.,1,001,15,03B,214,27,165,3,0,0,168,31,95,42,44,115,9,41,122,5,41,122,5
0010020,BALSAM TWP.,1,001,20,03B,19,0,11,2,0,0,13,0,3,10,1,10,2,3,9,1,1,11,1
0010025,BEAVER TWP.,1,001,25,08B,47,3,33,0,1,0,34,8,19,7,8,16,10,8,26,0,10,24,0
0010030,CLARK TWP.,1,001,30,08B,100,4,80,2,0,0,82,14,46,22,19,55,8,18,62,2,21,59,2
0010035,CORNISH TWP.,1,001,35,03B,31,1,21,3,0,0,24,11,8,5,7,13,4,9,12,3,10,11,3
0010040,FARM ISLAND TWP.,1,001,40,08B,566,48,422,66,0,0,488,153,198,137,196,208,84,181,301,6,178,300,10
0010045,FLEMING TWP.,1,001,45,03B,229,21,189,17,0,0,206,55,84,67,81,93,32,68,119,19,84,110,12
0010050,GLEN TWP.,1,001,50,08B,327,27,221,34,0,0,255,53,125,77,72,147,36,67,182,6,77,174,4
0010055,HAUGEN TWP.,1,001,55,08B,111,5,71,4,0,0,75,21,34,20,32,34,9,26,48,1,31,41,3
0010060,HAZELTON TWP.,1,001,60,08B,447,57,324,49,0,0,373,123,148,102,130,179,64,140,225,8,131,231,11
0010065,HILL CITY,1,001,65,03B,349,43,207,6,0,1,214,44,112,58,48,129,37,60,148,6,57,146,11
0010070,HILL LAKE TWP.,1,001,70,03B,292,30,212,6,0,0,218,58,93,67,73,111,34,85,133,0,91,124,3
0010075,IDUN TWP.,1,001,75,08B,125,7,92,0,6,0,98,22,46,30,30,60,8,16,82,0,24,73,1
0010080,JEVNE TWP.,1,001,80,03B,215,21,158,5,0,0,163,44,59,60,57,76,30,68,89,6,72,87,4
0010085,KIMBERLY TWP.,1,001,85,08B,160,26,123,9,0,0,132,49,39,44,56,58,18,49,80,3,63,66,3
0010090,LAKESIDE TWP.,1,001,90,08B,353,37,255,26,0,0,281,54,160,67,67,170,44,87,187,7,82,192,7
0010095,LEE TWP.,1,001,95,08B,30,6,29,0,0,0,29,14,7,8,13,9,7,9,16,4,16,9,4
0010100,LIBBY TWP. E,1,001,100,03B,25,0,13,8,0,0,21,7,9,5,4,16,1,5,16,0,5,16,0
0010105,LIBBY TWP. W,1,001,105,03B,13,1,10,1,0,0,11,1,5,5,3,6,2,5,5,1,4,7,0
0010110,LOGAN TWP.,1,001,110,03B,178,12,119,7,0,0,126,37,48,41,48,60,18,39,79,8,66,58,2
0010115,MCGRATH,1,001,115,08B,54,4,43,0,0,0,43,13,15,15,11,24,8,8,32,3,16,25,2
0010120,MCGREGOR,1,001,120,08B,268,26,170,5,0,0,175,53,68,54,60,90,25,39,132,4,49,119,7
0010125,MCGREGOR TWP.,1,001,125,08B,77,6,54,0,0,0,54,16,24,14,17,30,7,13,40,1,13,40,1
0010130,MACVILLE TWP.,1,001,130,03B,152,9,95,5,0,0,100,17,52,31,20,66,14,21,75,4,27,67,6
0010132,MILLWARD TWP.,1,001,132,08B,36,1,19,1,0,0,20,5,9,6,5,14,1,3,17,0,7,12,1
0010135,MALMO TWP.,1,001,135,08B,186,37,160,14,0,0,174,37,92,45,42,96,36,47,125,2,49,121,4
0010140,MORRISON TWP.,1,001,140,03B,108,12,84,3,0,0,87,20,32,35,33,37,17,36,50,1,32,53,2
0010145,NORDLAND TWP.,1,001,145,08B,495,45,385,38,0,0,423,115,194,114,160,211,52,148,272,3,158,259,6
0010150,PALISADE,1,001,150,03B,115,8,65,0,0,0,65,15,34,16,20,36,9,41,22,2,32,33,0
0010155,PLINY TWP.,1,001,155,08B,81,6,64,0,1,0,65,25,30,10,28,31,6,20,45,0,35,30,0
0010160,RICE RIVER TWP.,1,001,160,08B,95,2,70,2,0,0,72,15,39,18,15,46,11,14,58,0,26,46,0
0010165,SALO TWP.,1,001,165,08B,76,7,56,0,0,0,56,6,32,18,9,37,10,10,45,1,18,37,1
0010170,SEAVEY TWP.,1,001,170,08B,35,3,27,0,0,2,29,7,14,8,9,19,1,4,25,0,11,16,2
0010175,SHAMROCK TWP.,1,001,175,08B,750,61,486,93,0,0,579,147,308,124,178,318,83,176,387,16,199,359,21
0010180,SPALDING TWP.,1,001,180,08B,100,19,83,2,3,0,88,18,51,19,28,50,10,20,67,1,36,51,1
0010185,SPENCER TWP.,1,001,185,03B,313,37,245,22,0,0,267,103,102,62,109,126,32,107,144,16,115,138,14
0010190,TAMARACK,1,001,190,08B,55,5,39,1,0,0,40,5,22,13,11,21,8,8,30,2,11,24,5
0010195,TURNER TWP.,1,001,195,03B,110,11,68,1,17,0,86,35,38,13,43,31,12,39,38,9,45,33,8
0010200,VERDON TWP.,1,001,200,03B,37,2,26,0,3,0,29,10,14,5,9,16,4,7,17,5,14,15,0
0010205,WAGNER TWP.,1,001,205,08B,204,29,175,11,0,0,186,32,106,48,48,111,27,37,147,2,66,118,2
0010210,WAUKENABO TWP.,1,001,210,03B,247,25,184,8,0,0,192,57,75,60,71,92,29,70,113,9,85,100,7
0010215,WEALTHWOOD TWP.,1,001,215,08B,166,10,120,6,0,0,126,31,61,34,36,69,21,39,83,4,44,80,2
0010220,WHITE PINE TWP.,1,001,220,08B,51,4,35,4,0,0,39,12,13,14,5,27,7,3,35,1,11,27,1
0010225,WILLIAMS TWP.,1,001,225,08B,77,13,64,0,0,0,64,21,22,21,22,32,10,12,44,8,22,33,9
0010230,WORKMAN TWP.,1,001,230,03B,106,5,69,0,4,0,73,15,42,16,17,48,8,18,53,2,22,51,0
0030005,ANDOVER P-1,2,003,5,50B,1615,219,1379,72,0,0,1451,507,513,431,698,412,341,609,783,59,797,614,40
0030010,ANDOVER P-2,2,003,10,50B,1468,267,1363,50,0,0,1413,525,505,383,682,423,308,597,753,63,698,669,46
0030015,ANDOVER P-3,2,003,15,50B,1293,265,1222,44,0,0,1266,467,419,380,662,320,284,562,635,69,653,562,51
0030020,ANDOVER P-4,2,003,20,50B,1226,182,1081,71,0,0,1152,410,396,346,549,345,258,483,596,73,578,514,60
0030021,ANDOVER P-1A,2,003,21,50B,1433,177,1257,75,0,0,1332,512,435,385,665,382,285,591,688,53,789,505,38
0030022,ANDOVER P-3A,2,003,22,50B,2272,569,2175,106,0,0,2281,816,781,684,1051,734,496,980,1171,130,1172,1010,99
0030025,ANOKA P-1,2,003,25,49A,1132,219,905,82,0,0,987,287,450,250,415,338,234,383,550,54,549,400,38
0030030,ANOKA P-2,2,003,30,49A,1134,231,907,56,0,0,963,364,341,258,463,288,212,445,457,61,638,284,41
0030035,ANOKA P-3,2,003,35,49A,966,194,847,33,0,0,880,296,332,252,413,274,193,369,447,64,549,291,40
0030040,ANOKA P-4,2,003,40,49A,1314,162,1042,103,0,0,1145,392,492,261,524,362,259,460,626,59,789,319,37
0030045,ANOKA P-5,2,003,45,49A,1361,182,1072,109,0,0,1181,380,499,302,547,374,260,442,667,72,747,395,39
0030050,ANOKA P-6,2,003,50,49A,1195,215,907,95,0,0,1002,307,433,262,402,331,269,356,584,62,557,404,41
0030055,ANOKA P-7,2,003,55,49A,1307,202,1114,42,0,0,1156,370,470,316,504,382,270,485,606,65,703,409,44
0030056,ANOKA P-8,2,003,56,49A,1368,187,1146,65,0,0,1211,400,455,356,523,408,280,500,643,68,722,446,43
0030060,BETHEL P-1,2,003,60,50A,182,51,186,0,0,0,186,52,63,71,73,58,55,65,109,12,60,114,12
0030065,BLAINE D-1 P-1,2,003,65,53A,755,125,711,16,0,0,727,243,290,194,325,245,157,377,323,27,308,367,52
0030070,BLAINE D-1 P-2,2,003,70,51A,1068,221,835,0,0,0,835,201,385,249,271,356,208,230,496,109,252,512,71
0030075,BLAINE D-1 P-3,2,003,75,48B,1033,162,895,33,0,0,928,201,421,306,317,389,222,298,564,66,236,635,57
0030080,BLAINE D-1 P-4,2,003,80,48B,1274,166,1090,48,0,0,1138,294,533,311,399,488,251,406,674,58,306,777,55
0030085,BLAINE D-2 P-1,2,003,85,51A,2200,301,1878,0,0,0,1878,607,774,497,790,675,413,803,937,138,703,1077,98
0030090,BLAINE D-2 P-2,2,003,90,51A,758,179,775,0,0,0,775,248,322,205,331,272,172,325,396,54,340,389,46
0030095,BLAINE D-2 P-3,2,003,95,51A,1216,241,1033,41,0,0,1074,313,459,302,426,409,239,400,589,85,427,581,66
0030100,BLAINE D-2 P-4,2,003,100,51A,1183,246,1111,40,0,0,1151,313,508,330,427,444,280,406,645,100,393,701,57
0030105,BLAINE D-3 P-1,2,003,105,50B,1544,197,1311,65,0,0,1376,468,588,320,590,507,279,587,745,44,662,658,56
0030110,BLAINE D-3 P-2,2,003,110,51A,1893,292,1609,0,0,0,1609,550,690,369,791,603,215,689,855,65,743,839,27
0030115,BLAINE D-3 P-3,2,003,115,51A,1572,358,1150,4,0,0,1154,427,554,387,573,511,263,526,699,69,500,740,3
0030120,BLAINE D-3 P-4,2,003,120,51A,1060,171,943,22,6,0,971,294,417,260,386,395,190,364,529,78,365,549,57
0030121,BLAINE D-3 P-5,2,003,121,51A,1100,218,937,0,0,0,937,240,445,252,335,424,178,337,509,91,328,533,76
0030124,BLAINE D-1 P-5,2,003,124,51A,1046,187,917,0,0,0,917,264,411,242,352,374,191,317,512,88,378,489,50
0030125,BURNS TWP.,2,003,125,50A,1591,212,1411,42,0,0,1453,470,492,491,697,441,315,620,775,58,626,777,50
0030126,BLAINE D-1 P-6,2,003,126,51A,1056,175,969,31,0,0,1000,292,442,266,402,356,242,402,534,64,449,495,56
0030127,BLAINE D-1 P-7,2,003,127,51A,640,204,573,25,0,0,598,138,311,149,233,228,137,205,342,51,210,340,48
0030128,BLAINE D-2 P-5,2,003,128,51A,970,156,824,31,0,0,855,201,418,236,305,366,184,276,510,69,281,520,54
0030129,BLAINE D-2 P-6,2,003,129,51A,1079,146,895,25,0,0,920,224,431,265,333,388,199,313,532,75,304,556,60
