FIPS_VTD,Precinct Name,CC,FIPS,PRCT,LEG,7am,EDR,Signatures,AB-Reg,AB-Fed,AB-Pres,Ballots,PresIR,PresDFL,PresOther,CongIR,CongDFL,CongOther,MNSenIR,MNSenDFL,MNSenOther,MNLegIR,MNLegDFL,MNLegOther
0030130,CENTERVILLE P-1,2,003,130,51B,949,244,958,32,0,0,958,278,365,315,406,302,250,336,513,109,380,516,62
0030135,CIRCLE PINES P-1,2,003,135,53A,1306,154,1087,33,0,0,1120,263,557,300,368,485,267,489,605,26,366,711,43
0030140,CIRCLE PINES P-2,2,003,140,53A,1607,192,1454,60,0,0,1514,514,611,389,621,544,349,845,637,32,687,744,83
0030145,COLUMBIA HEIGHTS P-1,2,003,145,52A,1717,245,1449,56,0,0,1505,303,836,366,452,700,353,392,1025,88,410,1009,86
0030150,COLUMBIA HEIGHTS P-2,2,003,150,52A,1344,178,1138,46,0,0,1184,258,625,301,371,511,302,335,777,72,345,759,80
0030155,COLUMBIA HEIGHTS P-3,2,003,155,52A,1491,217,1365,0,0,0,1365,332,711,322,440,563,362,400,883,82,405,873,87
0030160,COLUMBIA HEIGHTS P-4,2,003,160,52A,1396,123,1219,55,0,0,1274,387,614,273,494,508,272,466,750,58,473,748,53
0030165,COLUMBIA HEIGHTS P-5,2,003,165,52A,513,44,431,16,0,0,447,126,256,65,173,190,84,130,295,22,132,287,28
0030170,COLUMBIA HEIGHTS P-6,2,003,170,52A,1160,125,970,92,2,0,1064,351,440,273,448,318,298,433,566,65,436,550,78
0030175,COLUMBIA HEIGHTS P-7,2,003,175,52A,1310,240,1141,32,0,0,1173,333,608,232,431,439,303,380,728,65,407,692,74
0030180,COLUMBIA HEIGHTS P-8,2,003,180,52A,1541,220,1372,45,0,0,1417,370,702,345,490,609,318,443,914,60,450,907,60
0030185,COLUMBIA HEIGHTS P-9,2,003,185,52A,1512,204,1317,50,0,0,1367,319,732,316,438,601,328,365,928,74,370,919,78
0030190,COLUMBUS TWP.,2,003,190,50A,2250,302,2016,6,0,0,2022,614,812,596,847,655,520,812,1136,74,892,1061,69
0030195,COON RAPIDS W-1 P-1,2,003,195,49B,1165,222,1081,41,0,0,1122,363,439,320,473,390,259,388,683,51,506,578,38
0030200,COON RAPIDS W-1 P-2,2,003,200,49B,851,145,724,46,0,0,770,226,339,205,317,286,167,262,475,33,270,485,15
0030205,COON RAPIDS W-1 P-3,2,003,205,49B,1338,190,1212,37,0,0,1212,378,492,342,519,388,305,389,765,58,486,679,47
0030210,COON RAPIDS W-1 P-4,2,003,210,49B,1101,143,989,35,0,0,989,252,453,284,389,379,221,305,634,50,315,632,42
0030215,COON RAPIDS W-1 P-5,2,003,215,49A,2433,597,2266,117,6,0,2389,828,943,618,1088,762,539,976,1271,142,1459,802,128
0030220,COON RAPIDS W-1 P-6A,2,003,220,49A,1482,437,1602,57,0,0,1659,527,687,445,755,527,377,655,888,116,905,659,95
0030221,COON RAPIDS W-1 P-6B,2,003,221,49A,1711,270,1602,78,0,0,1680,651,592,437,837,432,411,761,781,138,1051,509,120
0030225,COON RAPIDS W-1 P-7,2,003,225,49B,1066,217,962,24,0,0,986,290,412,284,411,327,248,322,596,68,366,564,56
0030230,COON RAPIDS W-2 P-1,2,003,230,49A,1853,377,1509,126,0,0,1635,526,638,471,694,583,358,624,904,107,848,682,105
0030235,COON RAPIDS W-2 P-2,2,003,235,49B,1237,252,1188,31,0,0,1188,319,533,336,446,436,306,368,730,90,389,736,63
0030240,COON RAPIDS W-2 P-3,2,003,240,49B,1057,135,947,29,0,0,976,235,481,260,362,385,229,266,666,44,299,643,34
0030245,COON RAPIDS W-2 P-4,2,003,245,49B,1223,216,1066,42,0,0,1108,305,504,299,422,433,253,353,683,72,384,671,53
0030250,COON RAPIDS W-2 P-5,2,003,250,49A,2137,313,1928,99,0,0,2027,764,717,546,970,624,433,870,1053,104,1221,717,89
0030255,COON RAPIDS W-2 P-6,2,003,255,49B,1403,215,1255,38,0,0,1293,378,565,350,525,488,280,442,778,73,470,771,52
0030260,COON RAPIDS W-2 P-7,2,003,260,49B,925,153,852,20,0,0,872,215,413,244,321,353,198,281,529,62,282,535,55
0030265,COON RAPIDS W-3 P-1,2,003,265,49B,1071,120,901,54,0,0,955,303,375,277,441,311,203,337,584,34,351,578,26
0030270,COON RAPIDS W-3 P-2,2,003,270,49B,1347,170,1186,56,0,0,1242,397,521,324,556,409,277,439,749,54,468,734,40
0030275,COON RAPIDS W-3 P-3,2,003,275,48B,1729,370,1500,56,0,0,1556,442,692,422,596,581,379,520,860,176,476,880,200
0030280,COON RAPIDS W-3 P-4,2,003,280,48B,913,182,899,36,0,0,935,275,379,281,379,321,235,352,528,55,347,539,49
0030285,COON RAPIDS W-3 P-5,2,003,285,49B,1546,296,1284,77,4,0,1365,468,569,328,578,496,291,456,821,88,486,808,71
0030290,COON RAPIDS W-3 P-6,2,003,290,49B,1358,381,1179,25,0,0,1204,385,488,331,512,420,272,461,662,81,488,659,57
0030292,COON RAPIDS W-3 P-7,2,003,292,49B,1160,216,995,28,0,0,1023,316,415,292,418,336,269,350,613,60,447,533,43
0030293,COON RAPIDS W-2 P-8,2,003,293,48B,250,102,232,4,0,0,236,71,101,64,76,98,62,80,126,30,74,133,29
0030294,COON RAPIDS W-3 P-8,2,003,294,49B,725,122,609,34,0,0,643,191,274,178,262,247,134,206,406,31,211,402,30
0030295,EAST BETHEL P-1,2,003,295,50A,1920,303,1678,53,0,0,1731,465,686,580,723,595,413,631,1001,99,670,978,83
0030300,EAST BETHEL P-2,2,003,300,50A,2463,468,2227,51,0,0,2278,584,957,737,901,819,558,775,1398,105,793,1377,108
0030305,FRIDLEY W-1 P-1,2,003,305,48B,1655,156,1427,100,6,0,1427,489,636,302,571,510,346,572,770,85,498,869,60
0030310,FRIDLEY W-1 P-2,2,003,310,48B,1736,187,1547,53,0,0,1600,481,742,377,613,567,420,632,885,83,586,936,78
0030315,FRIDLEY W-1 P-3,2,003,315,52A,1385,208,1196,49,0,0,1245,330,626,289,429,507,309,360,810,75,379,807,59
0030320,FRIDLEY W-1 P-4,2,003,320,52A,1309,152,1171,1,0,0,1172,340,578,254,422,472,278,391,712,69,387,719,66
0030330,FRIDLEY W-2 P-1,2,003,330,48B,1320,275,1157,31,0,0,1188,326,528,334,437,404,347,394,675,119,349,732,107
0030335,FRIDLEY W-2 P-2,2,003,335,48B,1216,178,1030,37,0,0,1068,296,486,286,419,368,281,394,583,91,365,610,93
0030340,FRIDLEY W-2 P-3,2,003,340,48B,1708,171,1493,80,0,0,1573,532,667,374,655,550,368,653,844,76,595,890,88
0030345,FRIDLEY W-2 P-4,2,003,345,52A,1633,181,1391,70,0,0,1461,506,597,358,596,505,360,629,763,69,616,752,93
0030350,FRIDLEY W-3 P-1,2,003,350,48B,1296,320,1137,30,0,0,1167,315,525,327,420,452,295,394,668,105,377,689,101
0030355,FRIDLEY W-3 P-2,2,003,355,48B,1669,246,1458,68,1,0,1527,486,630,411,625,536,366,650,782,95,589,853,85
0030360,FRIDLEY W-3 P-3,2,003,360,52A,1135,259,936,47,0,0,983,256,486,241,341,394,248,301,596,86,311,583,89
0030365,FRIDLEY W-3 P-4,2,003,365,52A,1232,210,1123,0,0,0,1123,258,568,297,354,522,247,288,773,62,284,776,63
0030370,HAM LAKE P-1,2,003,370,50B,1323,291,1614,44,0,0,1232,436,413,383,568,370,294,496,660,76,594,551,87
0030375,HAM LAKE P-2,2,003,375,50A,1321,204,1203,18,0,0,1221,372,476,373,537,414,270,491,674,56,488,671,62
0030377,HAM LAKE P-3,2,003,377,50A,883,194,836,23,0,0,859,269,303,287,372,275,212,365,447,47,384,426,49
0030378,HAM LAKE P-4,2,003,378,50A,1333,217,1222,34,0,0,1256,429,427,400,628,378,250,570,647,39,567,626,63
0030380,HILLTOP P-1,2,003,380,52A,377,76,323,8,0,0,331,58,207,66,97,165,69,80,227,24,76,228,27
0030385,LEXINGTON P-1,2,003,385,51A,1122,188,910,21,0,0,931,193,458,280,316,395,220,295,524,112,273,606,52
0030390,LINO LAKES P-1,2,003,390,51B,1271,206,1148,33,0,0,1148,311,450,387,443,396,309,365,588,195,443,647,58
0030395,LINO LAKES P-2,2,003,395,51B,1712,490,1782,62,0,0,1844,540,758,546,785,646,413,663,912,269,747,959,138
0030396,LINO LAKES P-3,2,003,396,51B,2135,452,2041,111,0,0,2152,721,820,611,961,654,537,876,1033,243,925,1089,138
0030400,LINWOOD TWP.,2,003,400,50A,2094,342,1895,44,0,0,1939,540,773,626,848,648,443,743,1117,79,763,1079,97
0030405,OAK GROVE TWP.,2,003,405,50A,3274,464,2817,0,0,0,2817,860,1030,927,1260,938,619,1114,1588,115,1165,1550,102
0030410,RAMSEY P-1A,2,003,410,50B,1571,234,1397,58,0,0,1397,447,512,438,636,428,333,538,779,80,725,607,65
0030411,RAMSEY P-1B,2,003,411,50B,1224,209,1030,68,0,0,1098,350,386,362,493,346,259,442,589,67,630,412,56
0030415,RAMSEY P-2,2,003,415,50B,1985,311,1825,79,0,0,1825,588,648,589,877,542,406,755,984,86,1026,725,74
0030420,RAMSEY P-3A,2,003,420,50B,1139,229,1033,41,0,0,1074,349,379,346,512,337,225,415,588,71,566,451,57
0030421,RAMSEY P-3B,2,003,421,50B,1473,236,1303,40,0,0,1343,429,473,441,644,396,303,512,722,109,716,545,82
0030425,ST. FRANCIS P-1,2,003,425,50A,1307,233,1121,30,0,0,1151,345,451,355,534,340,277,414,663,74,475,612,64
0030430,SPRING LAKE PARK P-1,2,003,430,48B,688,143,623,0,0,0,623,193,232,198,269,202,152,246,324,53,211,366,46
0030435,SPRING LAKE PARK P-2,2,003,435,48B,1434,215,1285,47,0,0,1332,338,630,364,463,548,321,417,834,81,345,922,65
0030440,SPRING LAKE PARK P-3,2,003,440,48B,1718,239,1470,55,0,0,1525,400,717,408,535,637,353,507,938,80,407,1051,67
0050005,ATLANTA TWP.,3,005,5,02A,72,6,60,4,0,0,64,21,33,10,22,38,4,28,36,0,28,33,3
0050010,AUDUBON,3,005,10,09B,222,29,148,6,0,0,154,60,57,37,62,83,9,51,99,4,51,93,10
0050015,AUDUBON TWP.,3,005,15,09B,271,51,228,20,0,0,248,90,86,72,107,129,12,75,165,8,75,163,10
0050020,BURLINGTON TWP.,3,005,20,11A,633,102,511,35,0,0,546,261,126,159,261,263,22,240,287,19,314,214,18
0050025,CALLAWAY,3,005,25,02B,0,0,74,2,0,0,76,19,43,14,18,54,4,23,49,4,24,44,8
0050030,CALLAWAY TWP.,3,005,30,02B,159,25,148,1,0,0,149,50,58,41,41,105,3,48,97,4,49,88,12
0050035,CARSONVILLE TWP.,3,005,35,02B,127,10,98,6,0,0,104,31,49,24,38,57,9,30,68,6,31,58,15
0050040,CORMORANT TWP.,3,005,40,09B,579,66,455,49,0,0,504,218,179,107,213,268,23,185,301,18,202,288,14
0050045,CUBA TWP.,3,005,45,02A,0,0,108,2,0,0,110,42,45,23,42,65,3,42,66,2,53,52,5
0050050,DETROIT TWP.,3,005,50,11A,1380,187,1097,95,0,0,1192,492,402,298,530,614,48,503,624,65,693,457,42
0050055,DETROIT LAKES W-1 P-1,3,005,55,11A,591,113,445,33,0,0,478,156,196,126,186,267,25,165,287,26,238,207,33
0050060,DETROIT LAKES W-1 P-2,3,005,60,11A,515,116,440,26,0,0,466,172,170,124,191,247,28,186,256,24,245,198,23
0050065,DETROIT LAKES W-2 P-1,3,005,65,11A,872,123,684,52,0,0,736,297,297,142,309,395,32,300,386,50,424,283,29
0050070,DETROIT LAKES W-2 P-2,3,005,70,11A,710,107,581,59,0,0,640,309,221,110,265,345,30,270,336,34,393,207,40
0050075,DETROIT LAKES W-3 P-1,3,005,75,11A,778,120,604,47,0,0,651,278,246,127,276,342,33,253,367,31,375,243,33
0050080,DETROIT LAKES W-3 P-2,3,005,80,11A,768,110,638,55,0,0,693,349,209,135,292,381,20,307,355,31,444,221,28
0050082,EAGLE VIEW TWP.,3,005,82,02B,81,7,56,2,0,0,58,18,30,10,24,30,4,19,36,3,19,31,8
0050085,ERIE TWP.,3,005,85,11A,845,135,728,60,0,0,788,330,215,243,385,360,43,341,404,43,468,282,38
0050090,EVERGREEN TWP.,3,005,90,02B,157,23,133,2,0,0,135,40,53,42,51,76,8,39,90,6,44,78,13
0050095,FOREST TWP.,3,005,95,02B,63,2,45,13,0,0,58,22,22,14,26,29,3,32,23,3,28,24,6
0050100,FRAZEE,3,005,100,11A,541,87,378,51,0,0,429,163,137,129,172,229,28,145,258,26,217,182,30
0050105,GREEN VALLEY TWP.,3,005,105,02B,158,14,130,1,0,0,131,39,59,33,53,72,6,42,78,11,40,72,19
0050110,HAMDEN TWP.,3,005,110,02A,142,12,118,2,0,0,120,45,40,35,55,62,3,50,66,4,64,53,3
0050115,HEIGHT OF LAND TWP.,3,005,115,02B,368,46,295,26,0,0,321,146,84,91,154,156,11,138,167,16,149,145,27
0050120,HOLMESVILLE TWP.,3,005,120,02B,228,52,215,22,0,0,237,84,66,87,84,143,10,101,130,6,91,124,22
0050125,LAKE EUNICE TWP.,3,005,125,09B,654,80,490,42,0,0,532,198,190,144,212,289,31,167,345,20,185,318,29
0050130,LAKE PARK,3,005,130,09B,385,42,298,9,1,0,308,99,135,74,114,173,21,67,224,17,78,212,18
0050135,LAKE PARK TWP.,3,005,135,09B,249,30,194,16,0,0,210,75,82,53,66,135,9,54,152,4,61,144,5
0050140,LAKE VIEW TWP.,3,005,140,11A,1059,158,826,81,0,0,907,406,259,242,407,460,40,402,462,43,533,334,40
0050145,MAPLE GROVE TWP.,3,005,145,02B,155,19,105,8,0,0,113,27,63,23,31,71,11,33,71,9,25,71,17
0050150,OGEMA,3,005,150,02B,105,5,75,0,0,0,75,24,34,17,21,50,4,35,38,2,20,42,13
0050155,OSAGE TWP.,3,005,155,02B,393,53,312,20,0,0,332,98,148,86,145,156,31,102,210,20,120,175,37
0050160,PINE POINT TWP.,3,005,160,02B,154,12,103,3,0,0,106,23,60,23,30,64,12,19,73,14,20,55,31
0050165,RICEVILLE TWP.,3,005,165,02A,63,6,53,5,0,0,58,23,20,15,14,42,2,17,40,1,25,30,3
0050170,RICHWOOD TWP.,3,005,170,02B,346,34,278,17,0,0,295,92,108,95,117,165,13,113,175,7,110,162,23
0050175,ROUND LAKE TWP.,3,005,175,02B,98,16,88,5,0,0,93,34,32,27,51,39,3,42,48,3,42,37,14
0050180,RUNEBERG TWP.,3,005,180,02B,195,17,156,1,0,0,157,50,69,38,69,80,8,53,95,9,57,87,13
0050185,SAVANNAH TWP.,3,005,185,02B,92,5,79,4,0,0,83,34,23,26,39,35,9,36,37,10,37,31,15
0050190,SHELL LAKE TWP.,3,005,190,02B,170,29,151,8,0,0,159,37,74,48,49,97,13,41,109,9,48,92,19
0050195,SILVER LEAF TWP.,3,005,195,02B,215,49,207,1,0,0,208,55,66,87,92,109,7,69,134,5,71,117,20
0050200,SPRING CREEK TWP.,3,005,200,02A,71,10,65,1,0,0,66,23,22,21,26,39,1,32,34,0,26,36,4
0050205,SPRUCE GROVE TWP.,3,005,205,02B,229,13,163,9,0,0,172,73,61,38,86,79,7,81,84,7,91,69,12
0050210,SUGAR BUSH TWP.,3,005,210,02B,240,38,195,12,0,0,207,67,93,47,55,136,16,53,140,14,54,118,35
0050215,TOAD LAKE TWP.,3,005,215,02B,257,27,220,8,0,0,228,71,81,76,82,126,20,64,140,24,72,117,39
0050220,TWO INLETS TWP.,3,005,220,02B,131,20,116,9,0,0,125,44,43,38,50,70,5,42,78,5,54,50,21
0050225,WALWORTH TWP.,3,005,225,02A,84,11,72,2,0,0,74,26,36,12,22,47,5,27,46,1,34,38,2
0050230,WHITE EARTH TWP.,3,005,230,02B,327,42,201,2,0,0,203,49,103,51,56,139,8,60,136,7,49,134,20
0050235,WOLF LAKE,3,005,235,02B,37,2,30,0,0,0,30,16,8,6,13,15,2,15,13,2,16,11,3
0050240,WOLF LAKE TWP.,3,005,240,02B,134,3,93,1,0,0,94,54,25,15,41,48,5,50,37,7,52,26,16
0070005,ALASKA TWP.,4,007,5,02B,145,13,104,5,0,1,110,31,62,17,34,74,2,28,73,9,35,64,11
0070010,BATTLE TWP.,4,007,10,02B,26,3,25,0,0,0,25,7,11,7,10,14,1,11,13,1,17,8,0
0070015,BEMIDJI TWP.,4,007,15,04A,1475,241,1208,54,0,0,1262,515,437,310,624,597,41,582,656,24,266,946,50
0070020,BEMIDJI W-1,4,007,20,04A,1178,507,1125,111,0,0,1236,400,519,317,499,657,80,451,713,72,194,900,142
0070025,BEMIDJI W-2,4,007,25,04A,1066,329,975,46,0,0,921,310,390,221,380,497,44,337,553,31,139,719,63
0070030,BEMIDJI W-3,4,007,30,04A,956,620,1087,64,0,0,1151,321,559,271,410,664,77,397,686,68,219,810,122
0070035,BEMIDJI W-4,4,007,35,04A,954,283,777,73,0,0,850,234,412,204,291,515,44,290,528,32,126,655,69
0070040,BEMIDJI W-5,4,007,40,04A,1226,235,1020,63,0,0,1083,366,483,234,446,599,38,405,657,21,145,876,62
0070045,BENVILLE TWP.,4,007,45,02B,62,7,48,0,0,0,48,10,26,12,14,34,0,10,38,0,10,37,1
0070050,BIRCH TWP.,4,007,50,04A,56,8,45,4,0,0,49,21,20,8,27,21,1,24,24,1,14,32,3
