county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,Attorney General,,DFL,Lori Swanson,4386,56.87
01,Aitkin,Attorney General,,IND,Independence Party,344,4.46
01,Aitkin,Attorney General,,R,Jeff Johnson,2982,38.67
01,Aitkin,Governor,,DFL,Mike Hatch,3992,49.88
01,Aitkin,Governor,,IND,Peter Hutchinson,538,6.72
01,Aitkin,Governor,,R,Tim Pawlenty,3473,43.40
01,Aitkin,Secretary of State,,DFL,Mark Ritchie,4016,53.25
01,Aitkin,Secretary of State,,IND,Independence Party,228,3.02
01,Aitkin,Secretary of State,,R,Mary Kiffmeyer,3298,43.73
01,Aitkin,State Auditor,,DFL,Rebecca Otto,4260,55.75
01,Aitkin,State Auditor,,IND,Lucy Gerold,378,4.95
01,Aitkin,State Auditor,,R,Patricia Anderson Awada,3003,39.30
01,Aitkin,U.S. Senate,,DFL,Amy Klobuchar,4701,58.41
01,Aitkin,U.S. Senate,,IND,Robert Fitzgerald,300,3.73
01,Aitkin,U.S. Senate,,R,Mark Kennedy,3047,37.86
02,Anoka,Attorney General,,DFL,Lori Swanson,63865,50.17
02,Anoka,Attorney General,,IND,Independence Party,5244,4.12
02,Anoka,Attorney General,,R,Jeff Johnson,58190,45.71
02,Anoka,Governor,,DFL,Mike Hatch,55989,42.36
02,Anoka,Governor,,IND,Peter Hutchinson,7752,5.87
02,Anoka,Governor,,R,Tim Pawlenty,68422,51.77
02,Anoka,Secretary of State,,DFL,Mark Ritchie,59043,47.26
02,Anoka,Secretary of State,,IND,Independence Party,4104,3.29
02,Anoka,Secretary of State,,R,Mary Kiffmeyer,61782,49.45
02,Anoka,State Auditor,,DFL,Rebecca Otto,62721,50.10
02,Anoka,State Auditor,,IND,Lucy Gerold,6315,5.04
02,Anoka,State Auditor,,R,Patricia Anderson Awada,56161,44.86
02,Anoka,U.S. Senate,,DFL,Amy Klobuchar,72660,54.87
02,Anoka,U.S. Senate,,IND,Robert Fitzgerald,4373,3.30
02,Anoka,U.S. Senate,,R,Mark Kennedy,55399,41.83
03,Becker,Attorney General,,DFL,Lori Swanson,5890,45.98
03,Becker,Attorney General,,IND,Independence Party,397,3.10
03,Becker,Attorney General,,R,Jeff Johnson,6523,50.92
03,Becker,Governor,,DFL,Mike Hatch,5588,42.55
03,Becker,Governor,,IND,Peter Hutchinson,587,4.47
03,Becker,Governor,,R,Tim Pawlenty,6959,52.98
03,Becker,Secretary of State,,DFL,Mark Ritchie,5513,44.50
03,Becker,Secretary of State,,IND,Independence Party,327,2.64
03,Becker,Secretary of State,,R,Mary Kiffmeyer,6548,52.86
03,Becker,State Auditor,,DFL,Rebecca Otto,5979,47.23
03,Becker,State Auditor,,IND,Lucy Gerold,487,3.85
03,Becker,State Auditor,,R,Patricia Anderson Awada,6194,48.93
03,Becker,U.S. Senate,,DFL,Amy Klobuchar,6816,51.46
03,Becker,U.S. Senate,,IND,Robert Fitzgerald,413,3.12
03,Becker,U.S. Senate,,R,Mark Kennedy,6016,45.42
04,Beltrami,Attorney General,,DFL,Lori Swanson,9046,56.76
04,Beltrami,Attorney General,,IND,Independence Party,480,3.01
04,Beltrami,Attorney General,,R,Jeff Johnson,6410,40.22
04,Beltrami,Governor,,DFL,Mike Hatch,8603,51.89
04,Beltrami,Governor,,IND,Peter Hutchinson,706,4.26
04,Beltrami,Governor,,R,Tim Pawlenty,7270,43.85
04,Beltrami,Secretary of State,,DFL,Mark Ritchie,8456,53.15
04,Beltrami,Secretary of State,,IND,Independence Party,305,1.92
04,Beltrami,Secretary of State,,R,Mary Kiffmeyer,7148,44.93
04,Beltrami,State Auditor,,DFL,Rebecca Otto,8572,54.22
04,Beltrami,State Auditor,,IND,Lucy Gerold,493,3.12
04,Beltrami,State Auditor,,R,Patricia Anderson Awada,6745,42.66
04,Beltrami,U.S. Senate,,DFL,Amy Klobuchar,9714,58.06
04,Beltrami,U.S. Senate,,IND,Robert Fitzgerald,507,3.03
04,Beltrami,U.S. Senate,,R,Mark Kennedy,6511,38.91
05,Benton,Attorney General,,DFL,Lori Swanson,6413,47.81
05,Benton,Attorney General,,IND,Independence Party,551,4.11
05,Benton,Attorney General,,R,Jeff Johnson,6449,48.08
05,Benton,Governor,,DFL,Mike Hatch,5625,39.96
05,Benton,Governor,,IND,Peter Hutchinson,739,5.25
05,Benton,Governor,,R,Tim Pawlenty,7712,54.79
05,Benton,Secretary of State,,DFL,Mark Ritchie,5751,42.96
05,Benton,Secretary of State,,IND,Independence Party,359,2.68
05,Benton,Secretary of State,,R,Mary Kiffmeyer,7277,54.36
05,Benton,State Auditor,,DFL,Rebecca Otto,6479,48.91
05,Benton,State Auditor,,IND,Lucy Gerold,585,4.42
05,Benton,State Auditor,,R,Patricia Anderson Awada,6184,46.68
05,Benton,U.S. Senate,,DFL,Amy Klobuchar,7295,51.71
05,Benton,U.S. Senate,,IND,Robert Fitzgerald,498,3.53
05,Benton,U.S. Senate,,R,Mark Kennedy,6314,44.76
06,Big Stone,Attorney General,,DFL,Lori Swanson,1495,57.70
06,Big Stone,Attorney General,,IND,Independence Party,104,4.01
06,Big Stone,Attorney General,,R,Jeff Johnson,992,38.29
06,Big Stone,Governor,,DFL,Mike Hatch,1353,50.60
06,Big Stone,Governor,,IND,Peter Hutchinson,131,4.90
06,Big Stone,Governor,,R,Tim Pawlenty,1190,44.50
