county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,Attorney General,,DFL,Lori Swanson,3963,55.11
01,Aitkin,Attorney General,,IND,,392,5.45
01,Aitkin,Attorney General,,R,Chris Barden,2758,38.35
01,Aitkin,Attorney General,,TRP,,78,1.08
01,Aitkin,Governor,,DFL,Mark Dayton,3242,44.17
01,Aitkin,Governor,,EDP,,21,0.29
01,Aitkin,Governor,,GP,,9,0.12
01,Aitkin,Governor,,GR,,32,0.44
01,Aitkin,Governor,,IND,Tom Horner,829,11.30
01,Aitkin,Governor,,R,Tom Emmer,3081,41.98
01,Aitkin,Governor,,TRP,,125,1.70
01,Aitkin,Secretary of State,,DFL,Mark Ritchie,3442,48.29
01,Aitkin,Secretary of State,,IND,,486,6.82
01,Aitkin,Secretary of State,,R,Dan Severson,3200,44.89
01,Aitkin,State Auditor,,DFL,Rebecca Otto,3629,52.88
01,Aitkin,State Auditor,,R,Pat Anderson,3234,47.12
01,Aitkin,State Senate,,DFL,,3724,51.68
01,Aitkin,State Senate,,R,,3482,48.32
02,Anoka,Attorney General,,DFL,Lori Swanson,61617,48.44
02,Anoka,Attorney General,,IND,,6042,4.75
02,Anoka,Attorney General,,R,Chris Barden,58693,46.14
02,Anoka,Attorney General,,TRP,,845,0.66
02,Anoka,Governor,,DFL,Mark Dayton,50669,38.67
02,Anoka,Governor,,EDP,,310,0.24
02,Anoka,Governor,,GP,,309,0.24
02,Anoka,Governor,,GR,,472,0.36
02,Anoka,Governor,,IND,Tom Horner,14166,10.81
02,Anoka,Governor,,R,Tom Emmer,64826,49.47
02,Anoka,Governor,,TRP,,293,0.22
02,Anoka,Secretary of State,,DFL,Mark Ritchie,55809,43.92
02,Anoka,Secretary of State,,IND,,6082,4.79
02,Anoka,Secretary of State,,R,Dan Severson,65193,51.30
02,Anoka,State Auditor,,DFL,Rebecca Otto,56369,46.53
02,Anoka,State Auditor,,R,Pat Anderson,64765,53.47
02,Anoka,State Senate,,DFL,,55414,43.53
02,Anoka,State Senate,,IND,,1255,0.99
02,Anoka,State Senate,,R,,70645,55.49
03,Becker,Attorney General,,DFL,Lori Swanson,4950,42.95
03,Becker,Attorney General,,IND,,689,5.98
03,Becker,Attorney General,,R,Chris Barden,5798,50.31
03,Becker,Attorney General,,TRP,,88,0.76
03,Becker,Governor,,DFL,Mark Dayton,4433,37.63
03,Becker,Governor,,EDP,,46,0.39
03,Becker,Governor,,GP,,34,0.29
03,Becker,Governor,,GR,,72,0.61
03,Becker,Governor,,IND,Tom Horner,1276,10.83
03,Becker,Governor,,R,Tom Emmer,5882,49.92
03,Becker,Governor,,TRP,,39,0.33
03,Becker,Secretary of State,,DFL,Mark Ritchie,4682,40.68
03,Becker,Secretary of State,,IND,,686,5.96
03,Becker,Secretary of State,,R,Dan Severson,6141,53.36
