MCDPRCT,Same as FIPS,,,
PRECINCT NAME,Precinct Name,,,
WD,City ward,,,
CG,US Congressional District,,,
LEG,MN Legislative District,,,
CM,County Commissioner District,,,
SW,Soil and Water Conservation District,,,
S DST,One of up to 6 school districts in precinct,,,
S1,Special District ,,,
S2,Special District ,,,
C,Internal Software Code,,,
V,Internal Software Code,,,
MCD NAME,Minor Civil Division (City/township/unorganized territory) name,,,
JD,Judicial District,,,
MCD,Minor Civil Division Number,,,
PRCT,State Precinct Number,,,
CC,County Code,,,
FIPS,Federal Information Processing System precinct number,,,
7am,Number of voters registered in precinct at 7AM on election day (pre-registered voters),,,
EDR,Number of voters registering in the polling place on election day,,,
Signatures,Number of signatures on the polling place roster (i.e. number of people voting in person),,,
AB-reg,Regular absentee ballots submitted,,,
AB-fed,Absentee ballots with federal offices only submitted,,,
Ballots,Number of ballots cast,,,
VS_Code,Numeric code matching VS_Description field,,,
VS_Description,Method by which ballots are counted in precinct,,,
Equipment_Model,Model of optical scan voting equipment used in precinct,,,
USSenGP,US Senate Green Party candidate votes,,,
USSenIP,US Senate Independence Party candidate votes,,,
USSenR,US Senate Republican Party candidate votes,,,
Wellstone,"Votes counted for Paul Wellstone (edited - errors in reporting corrected, does not reliably reflect total votes cast)",,,
USSenDFL,US Senate Democratic-Farmer-Labor Party candidate votes (Mondale) (edited - errors in reporting corrected),,,
USSenCP,US Senate Constitution Party candidate votes,,,
USSenWI,US Senate Write-in votes - includes registered and non-registered write-in numbers,,,
CongGP,Green,,,"US Congress - see ""CG"" field for district number "
CongIP,Independence,,,
CongR,Republican,,,
CongDFL,Democratic-Farmer-Labor,,,
CongNNT,No New Taxes,,,
CongWI,Write-in,,,
MNSenGP,Green,,,"MN Senate - see ""LEG"" field for district number "
MNSenIP,Independence,,,
MNSenR,Republican,,,
MNSenDFL,Democratic-Farmer-Labor,,,
MNSenCP,Constitution Party,,,
MNSenICP,Independent Christian Pro-Life,,,
MNSenWI,Write-in,,,
MNlegGP,Green,,,"MN House - see ""LEG"" field for district number"
MNlegIP,Independence,,,
MNlegR,Republican,,,
MNlegDFL,Democratic-Farmer-Labor,,,
MNlegCP,Constitution Party,,,
MNlegI,Independent,,,
MNlegWI,Write-in,,,
GovGP,Green,,,Governor and Lieutenant Governor
GovIP,Independence,,,
GovR,Republican,,,
GovDFL,Democratic-Farmer-Labor,,,
GovCP,Constitution Party,,,
GovI,Independent,,,
GovSW,Socialist Workers Party,,,
GovWI,Write-in,,,
SOSGP,Green,,,Secretary of State
SOSIP,Independence,,,
SOSR,Republican,,,
SOSDFL,Democratic-Farmer-Labor,,,
SOSWI,Write-in,,,
AGIP,Independence,,,Attorney General
AGR,Republican,,,
AGDFL,Democratic-Farmer-Labor,,,
AGWI,Write-in,,,
AudGP,Green,,,State Auditor
AudIP,Independence,,,
AudR,Republican,,,
AudDFL,Democratic-Farmer-Labor,,,
AudWI,Write-in,,,
PAUL H. ANDERSON,,,,Supreme Court Seat 3
JACK BAKER,,,,
WRITE-IN (TOTAL),,,,
"EDWARD TOUSSAINT, JR.",,,,Appeals Court Seats
WRITE-IN (TOTAL),,,,
BRUCE D. WILLIS,,,,
WRITE-IN (TOTAL),,,,
THOMAS KALITOWSKI,,,,
WRITE-IN (TOTAL),,,,
ROGER M. KLAPHAKE,,,,
WRITE-IN (TOTAL),,,,
HARRIET LANSING,,,,
WRITE-IN (TOTAL),,,,
ROBERT H. SCHUMACHER,,,,
WRITE-IN (TOTAL),,,,
JEFFREY A. SLOAN,,,,
TERRI JEAN STONEBURNER,,,,
WRITE-IN (TOTAL),,,,
CAROL HOOTEN,,,,"District Courts - see ""JD"" field for district number"
"CHARLES ""CHUCK"" HALBERG",,,,
WRITE-IN (TOTAL),,,,
KEVIN W. EIDE,,,,
DAVID H. GROUNDS,,,,
WRITE-IN (TOTAL),,,,
KAREN ASPHAUG,,,,
KEVIN QUIGLEY,,,,
WRITE-IN (TOTAL),,,,
"JUDITH ""JUDI"" PAYNE",,,,
MARY J. THEISEN,,,,
WRITE-IN (TOTAL),,,,
JOHN T. FINLEY,,,,
KATHLEEN FIXSEN HUPALO,,,,
WRITE-IN (TOTAL),,,,
HARRY SEYMOUR CRUMP,,,,
KEVIN J. KOLOSKY,,,,
WRITE-IN (TOTAL),,,,
JUDD EDWARD GUSHWA,,,,
STEPHEN C. ALDRICH,,,,
WRITE-IN (TOTAL),,,,
TANYA M. BRANSFORD,,,,
JOSEPH (PAT) MCCORMICK,,,,
WRITE-IN (TOTAL),,,,
THOMAS W. WEXLER,,,,
JILL CLARK,,,,
WRITE-IN (TOTAL),,,,
HERBERT P. LEFLER,,,,
LIZ PIERCE,,,,
WRITE-IN (TOTAL),,,,
ROBERT D. SCHWARTZ,,,,
JAMES T. SWENSON,,,,
WRITE-IN (TOTAL),,,,
JULIE DELGADO O'NEIL,,,,
LLOYD ZIMMERMAN,,,,
WRITE-IN (TOTAL),,,,
THOMAS M. STRINGER,,,,
JOHN A. HATLING,,,,
WRITE-IN (TOTAL),,,,
DAVID F. HARRINGTON,,,,
TED N. LUNDRIGAN,,,,
WRITE-IN (TOTAL),,,,
LOIS J. LANG,,,,
DAVID G. KUDUK,,,,
WRITE-IN (TOTAL),,,,
LUKE ROBERT STELLPFLUG,,,,
NANCY J. LOGERING,,,,
WRITE-IN (TOTAL),,,,
