county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,Associate Justice - Supreme Court 3,NA,NP,Gordon Moore,5380,99.43
01,Aitkin,Associate Justice - Supreme Court 3,NA,WI,WRITE-IN,31,0.57
01,Aitkin,Associate Justice - Supreme Court 6,NA,NP,Natalie E. Hudson,5345,99.55
01,Aitkin,Associate Justice - Supreme Court 6,NA,WI,WRITE-IN,24,0.45
01,Aitkin,Attorney General,NA,DFL,Keith Ellison,2808,33.48
01,Aitkin,Attorney General,NA,R,Jim Schultz,5579,66.51
01,Aitkin,Attorney General,NA,WI,WRITE-IN,1,0.01
01,Aitkin,County Attorney,NA,NP,Cindi Hills,3047,40.63
01,Aitkin,County Attorney,NA,NP,James (Jim) Ratz,4439,59.19
01,Aitkin,County Attorney,NA,WI,WRITE-IN,13,0.17
01,Aitkin,County Auditor,NA,NP,Kirk Peysar,6756,99.35
01,Aitkin,County Auditor,NA,WI,WRITE-IN,44,0.65
01,Aitkin,County Commissioner District 1,01,NP,J. Mark Wedel,1081,97.74
01,Aitkin,County Commissioner District 1,01,WI,WRITE-IN,25,2.26
01,Aitkin,County Commissioner District 3,03,NP,Don Niemi,763,46.84
01,Aitkin,County Commissioner District 3,03,NP,Travis J. Leiviska,857,52.61
01,Aitkin,County Commissioner District 3,03,WI,WRITE-IN,9,0.55
01,Aitkin,County Commissioner District 4,04,NP,Bret Sample,871,57.49
01,Aitkin,County Commissioner District 4,04,NP,Brian Napstad,640,42.24
01,Aitkin,County Commissioner District 4,04,WI,WRITE-IN,4,0.26
01,Aitkin,County Commissioner District 5,05,NP,Ann Marcotte,589,44.05
01,Aitkin,County Commissioner District 5,05,NP,Michael L. Kearney,746,55.80
01,Aitkin,County Commissioner District 5,05,WI,WRITE-IN,2,0.15
01,Aitkin,County Recorder,NA,NP,Michael (Mick) Moriarty,3149,43.57
01,Aitkin,County Recorder,NA,NP,Tara Snyder,4069,56.29
01,Aitkin,County Recorder,NA,WI,WRITE-IN,10,0.14
01,Aitkin,County Sheriff,NA,NP,Daniel Guida,6892,98.81
01,Aitkin,County Sheriff,NA,WI,WRITE-IN,83,1.19
01,Aitkin,County Treasurer,NA,NP,Lori Grams,6808,99.60
01,Aitkin,County Treasurer,NA,WI,WRITE-IN,27,0.40
01,Aitkin,Governor,NA,DFL,Tim Walz and Peggy Flanagan,3030,35.93
01,Aitkin,Governor,NA,GLC,Steve Patterson and Matt Huff,89,1.06
01,Aitkin,Governor,NA,IA,Hugh McTavish and Mike Winter,66,0.78
01,Aitkin,Governor,NA,LMN,James McCaskel and David Sandbeck,120,1.42
01,Aitkin,Governor,NA,R,Scott Jensen and Matt Birk,5110,60.59
01,Aitkin,Governor,NA,SWP,Gabrielle M. Prosser and Kevin A. Dwire,19,0.23
01,Aitkin,Governor,NA,WI,WRITE-IN,0,0.00
01,Aitkin,Judge - 9th District Court 16,09,NP,Jeanine R. Brand,5219,99.50
01,Aitkin,Judge - 9th District Court 16,09,WI,WRITE-IN,26,0.50
01,Aitkin,Judge - 9th District Court 17,09,NP,Corey A. Harbott,5201,99.48
01,Aitkin,Judge - 9th District Court 17,09,WI,WRITE-IN,27,0.52
01,Aitkin,Judge - 9th District Court 20,09,NP,Donna K. Dixon,5219,99.62
