county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,U.S. Senate,,DFL,Paul David Wellstone,3393,52.16
01,Aitkin,U.S. Senate,,IR,Rudy Boschwitz,2974,45.72
01,Aitkin,U.S. Senate,,GRP,Russell B. Bentley,138,2.12
02,Anoka,U.S. Senate,,DFL,Paul David Wellstone,48002,52.61
02,Anoka,U.S. Senate,,IR,Rudy Boschwitz,41617,45.61
02,Anoka,U.S. Senate,,GRP,Russell B. Bentley,1625,1.78
03,Becker,U.S. Senate,,DFL,Paul David Wellstone,5246,46.91
03,Becker,U.S. Senate,,IR,Rudy Boschwitz,5732,51.26
03,Becker,U.S. Senate,,GRP,Russell B. Bentley,205,1.83
04,Beltrami,U.S. Senate,,DFL,Paul David Wellstone,6270,53.10
04,Beltrami,U.S. Senate,,IR,Rudy Boschwitz,5355,45.35
04,Beltrami,U.S. Senate,,GRP,Russell B. Bentley,183,1.55
05,Benton,U.S. Senate,,DFL,Paul David Wellstone,4985,45.31
05,Benton,U.S. Senate,,IR,Rudy Boschwitz,5750,52.26
05,Benton,U.S. Senate,,GRP,Russell B. Bentley,267,2.43
06,Big Stone,U.S. Senate,,DFL,Paul David Wellstone,1647,50.69
06,Big Stone,U.S. Senate,,IR,Rudy Boschwitz,1551,47.74
06,Big Stone,U.S. Senate,,GRP,Russell B. Bentley,51,1.57
07,Blue Earth,U.S. Senate,,DFL,Paul David Wellstone,9542,44.79
07,Blue Earth,U.S. Senate,,IR,Rudy Boschwitz,11353,53.29
07,Blue Earth,U.S. Senate,,GRP,Russell B. Bentley,408,1.92
08,Brown,U.S. Senate,,DFL,Paul David Wellstone,3779,37.19
08,Brown,U.S. Senate,,IR,Rudy Boschwitz,6217,61.18
08,Brown,U.S. Senate,,GRP,Russell B. Bentley,165,1.62
09,Carlton,U.S. Senate,,DFL,Paul David Wellstone,7153,62.18
09,Carlton,U.S. Senate,,IR,Rudy Boschwitz,4123,35.84
09,Carlton,U.S. Senate,,GRP,Russell B. Bentley,227,1.97
10,Carver,U.S. Senate,,DFL,Paul David Wellstone,7955,41.42
10,Carver,U.S. Senate,,IR,Rudy Boschwitz,10889,56.70
10,Carver,U.S. Senate,,GRP,Russell B. Bentley,361,1.88
11,Cass,U.S. Senate,,DFL,Paul David Wellstone,4674,46.61
11,Cass,U.S. Senate,,IR,Rudy Boschwitz,5134,51.20
11,Cass,U.S. Senate,,GRP,Russell B. Bentley,220,2.19
12,Chippewa,U.S. Senate,,DFL,Paul David Wellstone,2705,48.43
12,Chippewa,U.S. Senate,,IR,Rudy Boschwitz,2797,50.08
12,Chippewa,U.S. Senate,,GRP,Russell B. Bentley,83,1.49
13,Chisago,U.S. Senate,,DFL,Paul David Wellstone,6957,53.02
13,Chisago,U.S. Senate,,IR,Rudy Boschwitz,5917,45.09
13,Chisago,U.S. Senate,,GRP,Russell B. Bentley,248,1.89
