county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,President,,DFL,Bill Clinton,3400,44.72
01,Aitkin,President,,Other,Ross Perot,2052,26.99
01,Aitkin,President,,R,George H.W. Bush,2151,28.29
02,Anoka,President,,DFL,Bill Clinton,54621,41.94
02,Anoka,President,,Other,Ross Perot,36153,27.76
02,Anoka,President,,R,George H.W. Bush,39458,30.30
03,Becker,President,,DFL,Bill Clinton,4958,35.61
03,Becker,President,,Other,Ross Perot,3535,25.39
03,Becker,President,,R,George H.W. Bush,5430,39.00
04,Beltrami,President,,DFL,Bill Clinton,7210,44.61
04,Beltrami,President,,Other,Ross Perot,3748,23.19
04,Beltrami,President,,R,George H.W. Bush,5204,32.20
05,Benton,President,,DFL,Bill Clinton,5156,35.27
05,Benton,President,,Other,Ross Perot,4408,30.16
05,Benton,President,,R,George H.W. Bush,5053,34.57
06,Big Stone,President,,DFL,Bill Clinton,1610,46.60
06,Big Stone,President,,Other,Ross Perot,793,22.95
06,Big Stone,President,,R,George H.W. Bush,1052,30.45
07,Blue Earth,President,,DFL,Bill Clinton,11531,41.09
07,Blue Earth,President,,Other,Ross Perot,7720,27.51
07,Blue Earth,President,,R,George H.W. Bush,8813,31.40
08,Brown,President,,DFL,Bill Clinton,4278,30.93
08,Brown,President,,Other,Ross Perot,4162,30.09
08,Brown,President,,R,George H.W. Bush,5390,38.97
09,Carlton,President,,DFL,Bill Clinton,7736,51.85
09,Carlton,President,,Other,Ross Perot,3261,21.86
09,Carlton,President,,R,George H.W. Bush,3922,26.29
10,Carver,President,,DFL,Bill Clinton,8349,31.13
10,Carver,President,,Other,Ross Perot,8270,30.84
10,Carver,President,,R,George H.W. Bush,10201,38.04
11,Cass,President,,DFL,Bill Clinton,4901,39.67
11,Cass,President,,Other,Ross Perot,3178,25.72
11,Cass,President,,R,George H.W. Bush,4276,34.61
12,Chippewa,President,,DFL,Bill Clinton,2929,43.56
12,Chippewa,President,,Other,Ross Perot,1652,24.57
12,Chippewa,President,,R,George H.W. Bush,2143,31.87
13,Chisago,President,,DFL,Bill Clinton,7077,41.20
13,Chisago,President,,Other,Ross Perot,5287,30.78
13,Chisago,President,,R,George H.W. Bush,4813,28.02
14,Clay,President,,DFL,Bill Clinton,9845,41.46
14,Clay,President,,Other,Ross Perot,4234,17.83
14,Clay,President,,R,George H.W. Bush,9666,40.71
15,Clearwater,President,,DFL,Bill Clinton,1587,41.70
15,Clearwater,President,,Other,Ross Perot,904,23.75
15,Clearwater,President,,R,George H.W. Bush,1315,34.55
16,Cook,President,,DFL,Bill Clinton,1005,38.24
16,Cook,President,,Other,Ross Perot,745,28.35
16,Cook,President,,R,George H.W. Bush,878,33.41
17,Cottonwood,President,,DFL,Bill Clinton,2382,35.55
17,Cottonwood,President,,Other,Ross Perot,1838,27.43
17,Cottonwood,President,,R,George H.W. Bush,2481,37.02
18,Crow Wing,President,,DFL,Bill Clinton,8896,35.90
18,Crow Wing,President,,Other,Ross Perot,6771,27.33
18,Crow Wing,President,,R,George H.W. Bush,9112,36.77
19,Dakota,President,,DFL,Bill Clinton,63660,40.82
19,Dakota,President,,Other,Ross Perot,39976,25.63
19,Dakota,President,,R,George H.W. Bush,52312,33.54
20,Dodge,President,,DFL,Bill Clinton,2620,32.60
20,Dodge,President,,Other,Ross Perot,2367,29.45
20,Dodge,President,,R,George H.W. Bush,3049,37.94
21,Douglas,President,,DFL,Bill Clinton,5252,32.93
21,Douglas,President,,Other,Ross Perot,4341,27.22
21,Douglas,President,,R,George H.W. Bush,6356,39.85
22,Faribault,President,,DFL,Bill Clinton,3339,36.12
22,Faribault,President,,Other,Ross Perot,2467,26.68
22,Faribault,President,,R,George H.W. Bush,3439,37.20
23,Fillmore,President,,DFL,Bill Clinton,3977,37.06
23,Fillmore,President,,Other,Ross Perot,3172,29.56
23,Fillmore,President,,R,George H.W. Bush,3583,33.39
24,Freeborn,President,,DFL,Bill Clinton,7759,43.17
24,Freeborn,President,,Other,Ross Perot,5125,28.51
24,Freeborn,President,,R,George H.W. Bush,5089,28.31
25,Goodhue,President,,DFL,Bill Clinton,7916,36.66
