county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,President,,DFL,Bill Clinton,3810,51.29
01,Aitkin,President,,Other,Other,136,1.83
01,Aitkin,President,,R,Bob Dole,2327,31.33
01,Aitkin,President,,RP,Ross Perot,1155,15.55
01,Aitkin,U.S. Senate,,DFL,Paul Wellstone,3828,51.53
01,Aitkin,U.S. Senate,,Other,,806,10.85
01,Aitkin,U.S. Senate,,R,Rudy Boschwitz,2794,37.61
02,Anoka,President,,DFL,Bill Clinton,63756,51.25
02,Anoka,President,,Other,Other,2446,1.97
02,Anoka,President,,R,Bob Dole,41745,33.56
02,Anoka,President,,RP,Ross Perot,16448,13.22
02,Anoka,U.S. Senate,,DFL,Paul Wellstone,60204,48.40
02,Anoka,U.S. Senate,,Other,,15319,12.31
02,Anoka,U.S. Senate,,R,Rudy Boschwitz,48872,39.29
03,Becker,President,,DFL,Bill Clinton,5911,43.11
03,Becker,President,,Other,Other,527,3.84
03,Becker,President,,R,Bob Dole,5461,39.83
03,Becker,President,,RP,Ross Perot,1813,13.22
03,Becker,U.S. Senate,,DFL,Paul Wellstone,5854,43.73
03,Becker,U.S. Senate,,Other,,827,6.18
03,Becker,U.S. Senate,,R,Rudy Boschwitz,6705,50.09
04,Beltrami,President,,DFL,Bill Clinton,8006,50.10
04,Beltrami,President,,Other,Other,532,3.33
04,Beltrami,President,,R,Bob Dole,5806,36.34
04,Beltrami,President,,RP,Ross Perot,1635,10.23
04,Beltrami,U.S. Senate,,DFL,Paul Wellstone,8304,51.97
04,Beltrami,U.S. Senate,,Other,,1119,7.00
04,Beltrami,U.S. Senate,,R,Rudy Boschwitz,6556,41.03
05,Benton,President,,DFL,Bill Clinton,6006,44.98
05,Benton,President,,Other,Other,380,2.85
05,Benton,President,,R,Bob Dole,4835,36.21
05,Benton,President,,RP,Ross Perot,2133,15.97
05,Benton,U.S. Senate,,DFL,Paul Wellstone,5707,42.74
05,Benton,U.S. Senate,,Other,,1565,11.72
05,Benton,U.S. Senate,,R,Rudy Boschwitz,6082,45.54
06,Big Stone,President,,DFL,Bill Clinton,1619,53.36
06,Big Stone,President,,Other,Other,57,1.88
06,Big Stone,President,,R,Bob Dole,990,32.63
06,Big Stone,President,,RP,Ross Perot,368,12.13
06,Big Stone,U.S. Senate,,DFL,Paul Wellstone,1625,53.56
06,Big Stone,U.S. Senate,,Other,,216,7.12
06,Big Stone,U.S. Senate,,R,Rudy Boschwitz,1193,39.32
07,Blue Earth,President,,DFL,Bill Clinton,12420,48.78
07,Blue Earth,President,,Other,Other,637,2.50
07,Blue Earth,President,,R,Bob Dole,9082,35.67
07,Blue Earth,President,,RP,Ross Perot,3324,13.05
07,Blue Earth,U.S. Senate,,DFL,Paul Wellstone,12843,50.44
07,Blue Earth,U.S. Senate,,Other,,1926,7.56
07,Blue Earth,U.S. Senate,,R,Rudy Boschwitz,10694,42.00
08,Brown,President,,DFL,Bill Clinton,4864,38.95
08,Brown,President,,Other,Other,258,2.07
08,Brown,President,,R,Bob Dole,5580,44.68
08,Brown,President,,RP,Ross Perot,1786,14.30
08,Brown,U.S. Senate,,DFL,Paul Wellstone,4916,39.37
08,Brown,U.S. Senate,,Other,,1041,8.34
08,Brown,U.S. Senate,,R,Rudy Boschwitz,6531,52.30
09,Carlton,President,,DFL,Bill Clinton,8052,57.15
09,Carlton,President,,Other,Other,413,2.93
09,Carlton,President,,R,Bob Dole,4034,28.63
09,Carlton,President,,RP,Ross Perot,1591,11.29
09,Carlton,U.S. Senate,,DFL,Paul Wellstone,8577,60.87
09,Carlton,U.S. Senate,,Other,,1036,7.35
09,Carlton,U.S. Senate,,R,Rudy Boschwitz,4477,31.77
10,Carver,President,,DFL,Bill Clinton,11554,40.79
10,Carver,President,,Other,Other,612,2.16
10,Carver,President,,R,Bob Dole,12380,43.70
10,Carver,President,,RP,Ross Perot,3781,13.35
10,Carver,U.S. Senate,,DFL,Paul Wellstone,10683,37.71
10,Carver,U.S. Senate,,Other,,3038,10.72
10,Carver,U.S. Senate,,R,Rudy Boschwitz,14606,51.56
11,Cass,President,,DFL,Bill Clinton,5437,44.83
11,Cass,President,,Other,Other,279,2.30
11,Cass,President,,R,Bob Dole,4791,39.51
11,Cass,President,,RP,Ross Perot,1620,13.36
11,Cass,U.S. Senate,,DFL,Paul Wellstone,5384,44.40
11,Cass,U.S. Senate,,Other,,1211,9.99
11,Cass,U.S. Senate,,R,Rudy Boschwitz,5532,45.62
12,Chippewa,President,,DFL,Bill Clinton,3178,51.19
12,Chippewa,President,,Other,Other,129,2.08
12,Chippewa,President,,R,Bob Dole,2119,34.13
12,Chippewa,President,,RP,Ross Perot,782,12.60
12,Chippewa,U.S. Senate,,DFL,Paul Wellstone,3183,51.27
12,Chippewa,U.S. Senate,,Other,,437,7.04
12,Chippewa,U.S. Senate,,R,Rudy Boschwitz,2588,41.69
13,Chisago,President,,DFL,Bill Clinton,8611,48.29
13,Chisago,President,,Other,Other,424,2.38
13,Chisago,President,,R,Bob Dole,5984,33.56
13,Chisago,President,,RP,Ross Perot,2812,15.77
13,Chisago,U.S. Senate,,DFL,Paul Wellstone,8503,47.69
13,Chisago,U.S. Senate,,Other,,2182,12.24
13,Chisago,U.S. Senate,,R,Rudy Boschwitz,7146,40.08
14,Clay,President,,DFL,Bill Clinton,10476,48.55
14,Clay,President,,Other,Other,605,2.80
14,Clay,President,,R,Bob Dole,8764,40.62
14,Clay,President,,RP,Ross Perot,1733,8.03
14,Clay,U.S. Senate,,DFL,Paul Wellstone,10313,47.79
14,Clay,U.S. Senate,,Other,,936,4.34
14,Clay,U.S. Senate,,R,Rudy Boschwitz,10329,47.87
15,Clearwater,President,,DFL,Bill Clinton,1578,44.45
15,Clearwater,President,,Other,Other,78,2.20
15,Clearwater,President,,R,Bob Dole,1423,40.08
15,Clearwater,President,,RP,Ross Perot,471,13.27
15,Clearwater,U.S. Senate,,DFL,Paul Wellstone,1622,45.68
15,Clearwater,U.S. Senate,,Other,,242,6.81
15,Clearwater,U.S. Senate,,R,Rudy Boschwitz,1687,47.51
16,Cook,President,,DFL,Bill Clinton,1169,45.97
16,Cook,President,,Other,Other,118,4.64
16,Cook,President,,R,Bob Dole,1010,39.72
16,Cook,President,,RP,Ross Perot,246,9.67
16,Cook,U.S. Senate,,DFL,Paul Wellstone,1168,45.93
16,Cook,U.S. Senate,,Other,,200,7.86
16,Cook,U.S. Senate,,R,Rudy Boschwitz,1175,46.21
17,Cottonwood,President,,DFL,Bill Clinton,2737,44.07
17,Cottonwood,President,,Other,Other,100,1.61
17,Cottonwood,President,,R,Bob Dole,2633,42.39
17,Cottonwood,President,,RP,Ross Perot,741,11.93
17,Cottonwood,U.S. Senate,,DFL,Paul Wellstone,2848,45.85
17,Cottonwood,U.S. Senate,,Other,,333,5.36
17,Cottonwood,U.S. Senate,,R,Rudy Boschwitz,3030,48.78
18,Crow Wing,President,,DFL,Bill Clinton,11156,44.32
18,Crow Wing,President,,Other,Other,497,1.97
18,Crow Wing,President,,R,Bob Dole,10095,40.11
18,Crow Wing,President,,RP,Ross Perot,3423,13.60
18,Crow Wing,U.S. Senate,,DFL,Paul Wellstone,11233,44.63
18,Crow Wing,U.S. Senate,,Other,,2099,8.34
18,Crow Wing,U.S. Senate,,R,Rudy Boschwitz,11839,47.03
19,Dakota,President,,DFL,Bill Clinton,77297,49.91
19,Dakota,President,,Other,Other,3248,2.10
19,Dakota,President,,R,Bob Dole,57244,36.96
19,Dakota,President,,RP,Ross Perot,17095,11.04
19,Dakota,U.S. Senate,,DFL,Paul Wellstone,73470,47.44
19,Dakota,U.S. Senate,,Other,,15658,10.11
19,Dakota,U.S. Senate,,R,Rudy Boschwitz,65756,42.45
20,Dodge,President,,DFL,Bill Clinton,3233,42.93
20,Dodge,President,,Other,Other,186,2.47
20,Dodge,President,,R,Bob Dole,2888,38.35
20,Dodge,President,,RP,Ross Perot,1223,16.24
20,Dodge,U.S. Senate,,DFL,Paul Wellstone,3174,42.16
20,Dodge,U.S. Senate,,Other,,548,7.28
20,Dodge,U.S. Senate,,R,Rudy Boschwitz,3807,50.56
21,Douglas,President,,DFL,Bill Clinton,6450,41.44
21,Douglas,President,,Other,Other,276,1.77
21,Douglas,President,,R,Bob Dole,6747,43.34
21,Douglas,President,,RP,Ross Perot,2093,13.45
21,Douglas,U.S. Senate,,DFL,Paul Wellstone,6436,41.35
21,Douglas,U.S. Senate,,Other,,1435,9.22
21,Douglas,U.S. Senate,,R,Rudy Boschwitz,7695,49.43
22,Faribault,President,,DFL,Bill Clinton,3817,45.78
22,Faribault,President,,Other,Other,145,1.74
22,Faribault,President,,R,Bob Dole,3272,39.25
22,Faribault,President,,RP,Ross Perot,1103,13.23
22,Faribault,U.S. Senate,,DFL,Paul Wellstone,3755,45.04
22,Faribault,U.S. Senate,,Other,,538,6.45
22,Faribault,U.S. Senate,,R,Rudy Boschwitz,4044,48.51
23,Fillmore,President,,DFL,Bill Clinton,4732,47.64
23,Fillmore,President,,Other,Other,159,1.60
23,Fillmore,President,,R,Bob Dole,3466,34.90
23,Fillmore,President,,RP,Ross Perot,1575,15.86
23,Fillmore,U.S. Senate,,DFL,Paul Wellstone,4649,46.81
23,Fillmore,U.S. Senate,,Other,,510,5.13
23,Fillmore,U.S. Senate,,R,Rudy Boschwitz,4773,48.06
24,Freeborn,President,,DFL,Bill Clinton,8458,52.32
24,Freeborn,President,,Other,Other,316,1.95
24,Freeborn,President,,R,Bob Dole,5166,31.96
24,Freeborn,President,,RP,Ross Perot,2226,13.77
24,Freeborn,U.S. Senate,,DFL,Paul Wellstone,8147,50.40
24,Freeborn,U.S. Senate,,Other,,932,5.77
24,Freeborn,U.S. Senate,,R,Rudy Boschwitz,7087,43.84
25,Goodhue,President,,DFL,Bill Clinton,9931,48.62
25,Goodhue,President,,Other,Other,395,1.93
25,Goodhue,President,,R,Bob Dole,7293,35.71
25,Goodhue,President,,RP,Ross Perot,2806,13.74
25,Goodhue,U.S. Senate,,DFL,Paul Wellstone,9420,46.12
25,Goodhue,U.S. Senate,,Other,,1813,8.88
25,Goodhue,U.S. Senate,,R,Rudy Boschwitz,9192,45.00
26,Grant,President,,DFL,Bill Clinton,1806,50.33
26,Grant,President,,Other,Other,64,1.78
26,Grant,President,,R,Bob Dole,1284,35.79
26,Grant,President,,RP,Ross Perot,434,12.10
26,Grant,U.S. Senate,,DFL,Paul Wellstone,1843,51.37
26,Grant,U.S. Senate,,Other,,260,7.25
26,Grant,U.S. Senate,,R,Rudy Boschwitz,1485,41.39
27,Hennepin,President,,DFL,Bill Clinton,285126,53.72
27,Hennepin,President,,Other,Other,24099,4.54
27,Hennepin,President,,R,Bob Dole,173887,32.76
27,Hennepin,President,,RP,Ross Perot,47663,8.98
27,Hennepin,U.S. Senate,,DFL,Paul Wellstone,279378,52.64
27,Hennepin,U.S. Senate,,Other,,55005,10.36
27,Hennepin,U.S. Senate,,R,Rudy Boschwitz,196392,37.00
28,Houston,President,,DFL,Bill Clinton,4153,43.63
28,Houston,President,,Other,Other,252,2.65
28,Houston,President,,R,Bob Dole,3674,38.60
28,Houston,President,,RP,Ross Perot,1439,15.12
28,Houston,U.S. Senate,,DFL,Paul Wellstone,3957,41.57
28,Houston,U.S. Senate,,Other,,584,6.14
28,Houston,U.S. Senate,,R,Rudy Boschwitz,4977,52.29
29,Hubbard,President,,DFL,Bill Clinton,3802,43.43
29,Hubbard,President,,Other,Other,218,2.49
29,Hubbard,President,,R,Bob Dole,3593,41.04
29,Hubbard,President,,RP,Ross Perot,1141,13.03
29,Hubbard,U.S. Senate,,DFL,Paul Wellstone,3898,44.53
29,Hubbard,U.S. Senate,,Other,,748,8.54
29,Hubbard,U.S. Senate,,R,Rudy Boschwitz,4108,46.93
30,Isanti,President,,DFL,Bill Clinton,6041,46.39
30,Isanti,President,,Other,Other,289,2.22
30,Isanti,President,,R,Bob Dole,4450,34.17
30,Isanti,President,,RP,Ross Perot,2242,17.22
30,Isanti,U.S. Senate,,DFL,Paul Wellstone,6183,47.48
30,Isanti,U.S. Senate,,Other,,1549,11.90
30,Isanti,U.S. Senate,,R,Rudy Boschwitz,5290,40.62
31,Itasca,President,,DFL,Bill Clinton,10706,51.50
31,Itasca,President,,Other,Other,687,3.30
31,Itasca,President,,R,Bob Dole,6506,31.30
31,Itasca,President,,RP,Ross Perot,2889,13.90
31,Itasca,U.S. Senate,,DFL,Paul Wellstone,11188,53.82
31,Itasca,U.S. Senate,,Other,,1888,9.08
31,Itasca,U.S. Senate,,R,Rudy Boschwitz,7712,37.10
32,Jackson,President,,DFL,Bill Clinton,2727,46.17
32,Jackson,President,,Other,Other,119,2.01
32,Jackson,President,,R,Bob Dole,2153,36.45
32,Jackson,President,,RP,Ross Perot,908,15.37
32,Jackson,U.S. Senate,,DFL,Paul Wellstone,2837,48.03
32,Jackson,U.S. Senate,,Other,,373,6.31
32,Jackson,U.S. Senate,,R,Rudy Boschwitz,2697,45.66
33,Kanabec,President,,DFL,Bill Clinton,2927,48.80
33,Kanabec,President,,Other,Other,151,2.52
33,Kanabec,President,,R,Bob Dole,1924,32.08
33,Kanabec,President,,RP,Ross Perot,996,16.61
